condition,rxn,p,smiles_am,broken_each_reactant_list,formed_each_product_list,all_bond_changed,inner_broken,inner_formed,outer_broken,outer_formed
c1,C[PH](C)=O.NOP(=O)(c1ccccc1)c1ccccc1>>CP(C)(N)=O,CP(C)(N)=O,[CH3:1][PH:2]([CH3:3])=[O:5].[NH2:4][O:8][P:7](=[O:6])([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][P:2]([CH3:3])([NH2:4])=[O:5],"[['P:2 - H'], ['N:4 - O:8']]",[['N:4 - P:2']],[],"[(0, '[#8]=[#15:2]([#6])[#6]', 'P:2 - H', 'P', 'SINGLE', 'H', '[#8]=[#15]([#6])[#6]', '[H]')]","[(0, '[#8]=[#15:1]([#7:2])([#6])[#6]', 'N:4 - P:2', 'N', 'SINGLE', 'P')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:4 - O:8', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#8]=[#15]([#6])([#6])-[#7]', 'N:4 - P:2', 'P', 'SINGLE', 'N', '[#8]=[#15]([#6])[#6]', '[#7]')]"
c1,Cn1cnc2ccccc21.NOP(=O)(c1ccccc1)c1ccccc1>>Cn1c[n+](N)c2ccccc21,Cn1c[n+](N)c2ccccc21,[CH3:1][n:2]1[cH:3][n:4][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12.[NH2:5][O:14][P:13](=[O:12])([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1>>[CH3:1][n:2]1[cH:3][n+:4]([NH2:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12,"[None, ['N:5 - O:14']]",[['N:4 - N:5']],[],[],[],"[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:5 - O:14', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:4 - N:5', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc(-c2ccncc2)cc1>>N[n+]1ccc(-c2ccccc2)cc1,N[n+]1ccc(-c2ccccc2)cc1,[NH2:1][O:16][P:15](=[O:14])([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.[n:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][cH:13]1>>[NH2:1][n+:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][cH:13]1,"[['N:1 - O:16'], None]",[['N:1 - N:2']],[],[],"[(0, '[N:1][n&+:2]1ccccc1', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:16', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#6][#6][#7]([#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#6][#6][#7][#6][#6]1', '[#7]')]"
c1,C(=Nc1ccccc1)Nc1ccccc1.NOP(=O)(c1ccccc1)c1ccccc1>>NN(C=Nc1ccccc1)c1ccccc1,NN(C=Nc1ccccc1)c1ccccc1,[NH:2]([CH:3]=[N:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[NH2:1][O:19][P:18](=[O:17])([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1>>[NH2:1][N:2]([CH:3]=[N:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,"[['N:2 - H'], ['N:1 - O:19']]",[['N:1 - N:2']],[],"[(0, 'c1ccccc1[#7&!a;X4&H1&+,X4&H2&+,X4&H3&+,X3&H1&+0,X3&H0&+0,X3&H2&+0;!$([#7][!#6]):2]', 'N:2 - H', 'N', 'SINGLE', 'H', '[c]1[c][c][c][c][c]1[#7;!a;X4H+,X4H2+,X4H3+,X3H+0,X3H0+0,X3H2+0;!$([#7][!#6])]', '[H]')]","[(0, '[#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:19', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#7]', '[#7]')]"
c1,CCS(=O)CC.NOP(=O)(c1ccccc1)c1ccccc1>>CCS(=N)(=O)CC,CCS(=N)(=O)CC,[CH3:1][CH2:2][S:3](=[O:5])[CH2:6][CH3:7].[NH2:4][O:10][P:9](=[O:8])([c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][CH2:2][S:3](=[NH:4])(=[O:5])[CH2:6][CH3:7],"[None, ['N:4 - O:10', 'N:4 - H']]",[['N:4 = S:3']],[],"[(1, '[#7:2]', 'N:4 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]')]","[(0, '[#7:1]=[#16:2]([#6])[#6]', 'N:4 = S:3', 'N', 'DOUBLE', 'S')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:4 - O:10', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]=[#16]', 'N:4 = S:3', 'N', 'DOUBLE', 'S', '[#7]', '[#16]')]"
c1,Cc1cc2ccccc2s1.NOP(=O)(c1ccccc1)c1ccccc1>>CC1=Cc2ccccc2S1=O,CC1=Cc2ccccc2S1=O,[H][O:11][H].[CH3:1][c:2]([cH:3]1)[s:10][c:9]2[c:4]1[cH:5][cH:6][cH:7][cH:8]2.NOP(c3ccccc3)(c4ccccc4)=O>>[CH3:1][C:2]5=[CH:3][c:4]6[c:9]([S:10]5=[O:11])[cH:8][cH:7][cH:6][cH:5]6,"[None, ['N:12 - O:11', 'O:11 - P:13']]",[['O:11 = S:10']],"['C:3 aromatic C:4 -> C:3 - C:4', 'C:9 aromatic S:10 -> C:9 - S:10', 'C:2 aromatic S:10 -> C:2 - S:10', 'C:2 aromatic C:3 -> C:2 = C:3']",[],"[(0, '[#16&X3:1]=[#8:2]', 'O:11 = S:10', 'O', 'DOUBLE', 'S')]",[],"[(0, '[#6]1[#6]=[#6][#16]([#6]1)=[#8]', 'O:11 = S:10', 'S', 'DOUBLE', 'O', '[#6]1[#6]=[#6][#16][#6]1', '[#8]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc(-c2ncc[nH]2)cc1>>Nn1ccnc1-c1ccccc1,Nn1ccnc1-c1ccccc1,[NH2:1][O:15][P:14](=[O:13])([c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1.[nH:2]1[cH:3][cH:4][n:5][c:6]1-[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[NH2:1][n:2]1[cH:3][cH:4][n:5][c:6]1-[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,"[['N:1 - O:15'], ['N:2 - H']]",[['N:1 - N:2']],[],"[(1, '[#7:2]1[#6][#7][#6][#6]1', 'N:2 - H', 'N', 'SINGLE', 'H', '[#7]1[#6][#7][#6][#6]1', '[H]')]","[(0, '[#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:15', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1([#6][#7][#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#7]1[#6][#7][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc2c(c1)NCCS2>>N=S1CCNc2ccccc21,N=S1CCNc2ccccc21,[NH2:1][O:14][P:13](=[O:12])([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1.[S:2]1[CH2:3][CH2:4][NH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]21>>[NH:1]=[S:2]1[CH2:3][CH2:4][NH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]21,"[['N:1 - O:14', 'N:1 - H'], None]",[['N:1 = S:2']],[],"[(0, '[#7:2]', 'N:1 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]')]","[(0, '[#7:1]=[#16:2]([#6])[#6]', 'N:1 = S:2', 'N', 'DOUBLE', 'S')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:14', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]1[#6][#6][#16]([#6][#6]1)=[#7]', 'N:1 = S:2', 'S', 'DOUBLE', 'N', '[#7]1[#6][#6][#16][#6][#6]1', '[#7]')]"
c1,NOP(=O)(c1ccccc1)c1ccccc1.c1ccc2c(c1)NCCS2>>O=S1CCNc2ccccc21,O=S1CCNc2ccccc21,[H][O:1][H].NOP(c1ccccc1)(c2ccccc2)=O.[c:6]34[c:11]([S:2][CH2:3][CH2:4][NH:5]4)[cH:10][cH:9][cH:8][cH:7]3>>[O:1]=[S:2]5[CH2:3][CH2:4][NH:5][c:6]6[c:11]5[cH:10][cH:9][cH:8][cH:7]6,"[['N:12 - O:1', 'O:1 - P:13'], None]",[['O:1 = S:2']],[],[],"[(0, '[#16&X3:1]=[#8:2]', 'O:1 = S:2', 'O', 'DOUBLE', 'S')]",[],"[(0, '[#7]1[#6][#6][#16]([#6][#6]1)=[#8]', 'O:1 = S:2', 'S', 'DOUBLE', 'O', '[#7]1[#6][#6][#16][#6][#6]1', '[#8]')]"
c1,CN1CCCc2ccc([N+](=O)[O-])cc21.NOP(=O)(c1ccccc1)c1ccccc1>>CN1CCCc2ccc([N+](=O)[O-])c(N)c21,CN1CCCc2ccc([N+](=O)[O-])c(N)c21,[CH3:1][N:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][c:9]([N+:10](=[O:11])[O-:12])[cH:13][c:15]21.[NH2:14][O:18][P:17](=[O:16])([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>>[CH3:1][N:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][cH:8][c:9]([N+:10](=[O:11])[O-:12])[c:13]([NH2:14])[c:15]21,"[['C:13 - H'], ['N:14 - O:18']]",[['C:13 - N:14']],[],"[(0, '[#6]12[#6][#6][#6][#7][#6]1[#6:2][#6][#6][#6]2', 'C:13 - H', 'C', 'SINGLE', 'H', '[#6]1([#6][#6][#6][#7]2)[#6]2[#6][#6][#6][#6]1', '[H]')]","[(0, '[#7&X3&H2:1][#6:2]', 'C:13 - N:14', 'C', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:14 - O:18', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]12[#6][#6][#6][#7][#6]1[#6]([#6][#6][#6]2)-[#7]', 'C:13 - N:14', 'C', 'SINGLE', 'N', '[#6]1([#6][#6][#6][#7]2)[#6]2[#6][#6][#6][#6]1', '[#7]')]"
