condition,rxn,p,smiles_am,broken_each_reactant_list,formed_each_product_list,all_bond_changed,inner_broken,inner_formed,outer_broken,outer_formed
c2,Ic1cccc2oc3ccccc3c12.NOP(=O)(c1ccccc1)c1ccccc1>>Nc1cccc2oc3ccccc3c12,Nc1cccc2oc3ccccc3c12,[c:2]1([I:15])[cH:3][cH:4][cH:5][c:6]2[o:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]12.[NH2:1][O:18][P:17](=[O:16])([c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>>[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[o:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]12,"[['C:2 - I:15'], ['N:1 - O:18']]",[['C:2 - N:1']],[],"[(0, '[c:1][#9,#17,#35,#53:2]', 'C:2 - I:15', 'C', 'SINGLE', 'I')]","[(0, '[#7&X3&H2:1][#6:2]', 'C:2 - N:1', 'C', 'SINGLE', 'N')]","[(0, 'c12c3c(cccc3oc1cccc2)-[#53&v1]', 'C:2 - I:15', 'C', 'SINGLE', 'I', '[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1', '[#53v1]'), (1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:18', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, 'c12c3c(cccc3oc1cccc2)-[#7]', 'C:2 - N:1', 'C', 'SINGLE', 'N', '[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1', '[#7]')]"
c2,COC(=O)c1ccc2ocnc2c1.NOP(=O)(c1ccccc1)c1ccccc1>>COC(=O)c1ccc2oc(N)nc2c1,COC(=O)c1ccc2oc(N)nc2c1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[o:9][cH:10][n:12][c:13]2[cH:14]1.[NH2:11][O:17][P:16](=[O:15])([c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[o:9][c:10]([NH2:11])[n:12][c:13]2[cH:14]1,"[['C:10 - H'], ['N:11 - O:17']]",[['C:10 - N:11']],[],"[(0, 'c12o[c:2]nc1cccc2', 'C:10 - H', 'C', 'SINGLE', 'H', '[c]1([o][c][n]2)[c]2[c][c][c][c]1', '[H]')]","[(0, '[#7&X3&H2:1][#6:2]', 'C:10 - N:11', 'C', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:11 - O:17', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, 'c12oc(nc1cccc2)-[#7]', 'C:10 - N:11', 'C', 'SINGLE', 'N', '[c]1([o][c][n]2)[c]2[c][c][c][c]1', '[#7]')]"
c2,NOP(=O)(c1ccccc1)c1ccccc1.O=C1CCC(=O)O1>>NC(=O)CCC(=O)O,NC(=O)CCC(=O)O,[NH2:1][O:11][P:10](=[O:9])([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[C:2]1(=[O:3])[CH2:4][CH2:5][C:6](=[O:7])[O:8]1>>[NH2:1][C:2](=[O:3])[CH2:4][CH2:5][C:6](=[O:7])[OH:8],"[['N:1 - O:11'], ['C:2 - O:8']]","[['C:2 - N:1', 'O:8 - H']]",[],"[(1, '[#6&R](=[#8])[#8&R:1][#6:2]', 'C:2 - O:8', 'C', 'SINGLE', 'O')]","[(0, '[#6:1](=[#8])[#7:2]', 'C:2 - N:1', 'C', 'SINGLE', 'N'), (0, '[#6](=[#8])[#8&X2&H1:2]', 'O:8 - H', 'O', 'SINGLE', 'H', '[#6](=[#8])[#8X2H]', '[H]')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:11', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#6](=[#8])-[#8]', 'C:2 - O:8', 'C', 'SINGLE', 'O', '[#6]=[#8]', '[#8]')]","[(0, '[#6](=[#8])-[#7]', 'C:2 - N:1', 'C', 'SINGLE', 'N', '[#6]=[#8]', '[#7]')]"
c2,NOP(=O)(c1ccccc1)c1ccccc1.O=C(Cl)c1cccc2ccccc12>>NC(=O)c1cccc2ccccc12,NC(=O)c1cccc2ccccc12,[NH2:1][O:16][P:15](=[O:14])([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.[C:2](=[O:3])([c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12)[Cl:29]>>[NH2:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12,"[['N:1 - O:16'], ['C:2 - Cl:29']]",[['C:2 - N:1']],[],"[(1, '[#6:1](=[#8])[#9,#17,#35,#53:2]', 'C:2 - Cl:29', 'C', 'SINGLE', 'Cl')]","[(0, '[#6:1](=[#8])[#7:2]', 'C:2 - N:1', 'C', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:16', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#6](=[#8])-[#17&v1]', 'C:2 - Cl:29', 'C', 'SINGLE', 'Cl', '[#6]=[#8]', '[#17v1]')]","[(0, '[#6](=[#8])-[#7]', 'C:2 - N:1', 'C', 'SINGLE', 'N', '[#6]=[#8]', '[#7]')]"
c2,NOP(=O)(c1ccccc1)c1ccccc1.O=C1CCCCCCCCCCCCCC1>>O=C1CCCCCCCCCCCCCCN1,O=C1CCCCCCCCCCCCCCN1,[NH2:17][O:20][P:19](=[O:18])([c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1)[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH:17]1,"[['N:17 - H', 'N:17 - O:20'], ['C:2 - C:16']]","[['C:16 - N:17', 'C:2 - N:17']]",[],"[(0, '[#7:2]', 'N:17 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]'), (1, '[#6][#6:1](=[#8])[#6:2]', 'C:2 - C:16', 'C', 'SINGLE', 'C')]","[(0, '[#7&X3&H1:1]([#6:2])[#6]', 'C:16 - N:17', 'C', 'SINGLE', 'N'), (0, '[#6:1](=[#8])[#7:2]', 'C:2 - N:17', 'C', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:17 - O:20', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#6](=[#8])-[#6]', 'C:2 - C:16', 'C', 'SINGLE', 'C', '[#6]=[#8]', '[#6]')]","[(0, '[#6](=[#8])[#7]-[#6]', 'C:16 - N:17', 'N', 'SINGLE', 'C', '[#6](=[#8])[#7]', '[#6]'), (0, '[#6](=[#8])-[#7]', 'C:2 - N:17', 'C', 'SINGLE', 'N', '[#6]=[#8]', '[#7]')]"
c2,CC1(C)CC(=O)c2ccccc21.NOP(=O)(c1ccccc1)c1ccccc1>>CC1(C)C/C(=N/O)c2ccccc21,CC1(C)C/C(=N/O)c2ccccc21,[H][O:13][H].[CH3:1][C:2]1([CH2:4][C:5]([c:6]2[c:11]1[cH:10][cH:9][cH:8][cH:7]2)=O)[CH3:3].[NH2:12]OP(c3ccccc3)(c4ccccc4)=O>>[CH3:1][C:2]5([CH2:4]/[C:5]([c:6]6[c:11]5[cH:10][cH:9][cH:8][cH:7]6)=[N:12]/[OH:13])[CH3:3],"[['C:5 = O:14'], ['N:6 - H', 'O:7 - P:16']]","[['C:5 = N:6', 'O:7 - H']]",[],"[(1, '[c:2]1ccccc1[#6&X4]', 'N:6 - H', 'N', 'SINGLE', 'H', '[c]1[c][c][c][c][c]1[#6X4]', '[H]')]","[(0, '[#6]1[#6][#6:1][#6:2][#6]1', 'C:5 = N:6', 'C', 'DOUBLE', 'N'), (0, '[#6]1[#6]c2:ccc[c:2]c2[#6]1', 'O:7 - H', 'O', 'SINGLE', 'H', '[#6]1[#6][c]2:[c][c][c][c][c]2[#6]1', '[H]')]",[],[]
c2,NOP(=O)(c1ccccc1)c1ccccc1.O=C(Cl)N(c1ccccc1)c1ccccc1>>NC(=O)N(c1ccccc1)c1ccccc1,NC(=O)N(c1ccccc1)c1ccccc1,[NH2:1][O:19][P:18](=[O:17])([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1.[C:2](=[O:3])([N:4]([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[Cl:32]>>[NH2:1][C:2](=[O:3])[N:4]([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,"[['N:1 - O:19'], ['C:2 - Cl:32']]",[['C:2 - N:1']],[],"[(1, '[#6:1](=[#8])[#9,#17,#35,#53:2]', 'C:2 - Cl:32', 'C', 'SINGLE', 'Cl')]","[(0, '[#6:1](=[#8])[#7:2]', 'C:2 - N:1', 'C', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:19', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#6](=[#8])([#7])-[#17&v1]', 'C:2 - Cl:32', 'C', 'SINGLE', 'Cl', '[#6](=[#8])[#7]', '[#17v1]')]","[(0, '[#6](=[#8])([#7])-[#7]', 'C:2 - N:1', 'C', 'SINGLE', 'N', '[#6](=[#8])[#7]', '[#7]')]"
c2,CCOC(=O)C(NC(=O)OC(C)(C)C)C(=O)OCC.NOP(=O)(c1ccccc1)c1ccccc1>>CCOC(=O)C(N)(NC(=O)OC(C)(C)C)C(=O)OCC,CCOC(=O)C(N)(NC(=O)OC(C)(C)C)C(=O)OCC,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([NH:8][C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[C:16](=[O:17])[O:18][CH2:19][CH3:20].[NH2:7][O:23][P:22](=[O:21])([c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1)[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([NH2:7])([NH:8][C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[C:16](=[O:17])[O:18][CH2:19][CH3:20],"[['C:6 - H'], ['N:7 - O:23']]",[['C:6 - N:7']],[],"[(0, '[#6&X3](=[#8])[#6&X4:2][#6&X3]=[#8]', 'C:6 - H', 'C', 'SINGLE', 'H', '[#6X3](=[#8])[#6X4][#6X3]=[#8]', '[H]')]","[(0, '[#7&X3&H2:1][#6:2]', 'C:6 - N:7', 'C', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:7 - O:23', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6&X3](=[#8])[#6&X4]([#6&X3]=[#8])-[#7]', 'C:6 - N:7', 'C', 'SINGLE', 'N', '[#6X3](=[#8])[#6X4][#6X3]=[#8]', '[#7]')]"
c2,CS(=O)c1ccccc1.NOP(=O)(c1ccccc1)c1ccccc1>>CS(=N)(=O)c1ccccc1,CS(=N)(=O)c1ccccc1,[CH3:1][S:2](=[O:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[NH2:3][O:13][P:12](=[O:11])([c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][S:2](=[NH:3])(=[O:4])[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,"[None, ['N:3 - O:13', 'N:3 - H']]",[['N:3 = S:2']],[],"[(1, '[#7:2]', 'N:3 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]')]","[(0, '[#7:1]=[#16:2]([#6])[#6]', 'N:3 = S:2', 'N', 'DOUBLE', 'S')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:3 - O:13', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]=[#16]', 'N:3 = S:2', 'N', 'DOUBLE', 'S', '[#7]', '[#16]')]"
c2,Clc1ccc2scnc2c1.NOP(=O)(c1ccccc1)c1ccccc1>>Nc1nc2cc(Cl)ccc2s1,Nc1nc2cc(Cl)ccc2s1,[cH:2]1[n:3][c:4]2[cH:5][c:6]([Cl:7])[cH:8][cH:9][c:10]2[s:11]1.[NH2:1][O:14][P:13](=[O:12])([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1>>[NH2:1][c:2]1[n:3][c:4]2[cH:5][c:6]([Cl:7])[cH:8][cH:9][c:10]2[s:11]1,"[['C:2 - H'], ['N:1 - O:14']]",[['C:2 - N:1']],[],"[(0, 'c12s[c:2]nc1cccc2', 'C:2 - H', 'C', 'SINGLE', 'H', '[c]1([s][c][n]2)[c]2[c][c][c][c]1', '[H]')]","[(0, '[#7&X3&H2:1][#6:2]', 'C:2 - N:1', 'C', 'SINGLE', 'N')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:14', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, 'c12sc(nc1cccc2)-[#7]', 'C:2 - N:1', 'C', 'SINGLE', 'N', '[c]1([s][c][n]2)[c]2[c][c][c][c]1', '[#7]')]"
c2,CN1c2ccccc2C(C)(C)C12C=Nc1c(ccc3ccccc13)O2.NOP(=O)(c1ccccc1)c1ccccc1>>CN1c2ccccc2C(C)(C)C12C=NNc1c(ccc3ccccc13)O2,CN1c2ccccc2C(C)(C)C12C=NNc1c(ccc3ccccc13)O2,[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C:9]([CH3:10])([CH3:11])[C:12]12[CH:13]=[N:15][c:16]1[c:17]([cH:18][cH:19][c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]13)[O:26]2.[NH2:14][O:29][P:28](=[O:27])([c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C:9]([CH3:10])([CH3:11])[C:12]12[CH:13]=[N:14][NH:15][c:16]1[c:17]([cH:18][cH:19][c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]13)[O:26]2,"[['C:13 = N:15'], ['N:14 - O:29', 'N:14 - H']]","[['N:15 - H', 'N:14 - N:15', 'C:13 = N:14']]",[],"[(0, '[#7&X2;H1,H0;!$([#7&X2][#7,#8,#9,#15,#16,#17,Br,I]):1]=[#6&X3:2]', 'C:13 = N:15', 'C', 'DOUBLE', 'N'), (1, '[#7:2]', 'N:14 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]')]","[(0, '[#7:2][#7&X2]=[#6&X3]', 'N:15 - H', 'N', 'SINGLE', 'H', '[#7][#7X2]=[#6X3]', '[H]'), (0, '[#7:1][#7&X2:2]=[#6&X3]', 'N:14 - N:15', 'N', 'SINGLE', 'N'), (0, '[#7][#7&X2:1]=[#6&X3:2]', 'C:13 = N:14', 'C', 'DOUBLE', 'N')]","[(0, '[#6]=[#7]', 'C:13 = N:15', 'C', 'DOUBLE', 'N', '[#6]', '[#7]'), (1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:14 - O:29', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]-[#7]', 'N:14 - N:15', 'N', 'SINGLE', 'N', '[#7]', '[#7]'), (0, '[#6]=[#7]', 'C:13 = N:14', 'C', 'DOUBLE', 'N', '[#6]', '[#7]')]"
c2,CCCCCCCCCCCCS(C)=O.NOP(=O)(c1ccccc1)c1ccccc1>>CCCCCCCCCCCCS(C)(=N)=O,CCCCCCCCCCCCS(C)(=N)=O,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][S:13]([CH3:14])=[O:16].[NH2:15][O:19][P:18](=[O:17])([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][S:13]([CH3:14])(=[NH:15])=[O:16],"[None, ['N:15 - H', 'N:15 - O:19']]",[['N:15 = S:13']],[],"[(1, '[#7:2]', 'N:15 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]')]","[(0, '[#7:1]=[#16:2]([#6])[#6]', 'N:15 = S:13', 'N', 'DOUBLE', 'S')]","[(1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:15 - O:19', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#7]=[#16]', 'N:15 = S:13', 'N', 'DOUBLE', 'S', '[#7]', '[#16]')]"
c2,NOP(=O)(c1ccccc1)c1ccccc1.c1cncc(C2=NCCC2)c1>>c1cncc(C2=NNCCC2)c1,c1cncc(C2=NNCCC2)c1,[NH2:7][O:15][P:14](=[O:13])([c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1.[cH:1]1[cH:2][n:3][cH:4][c:5]([C:6]2=[N:8][CH2:9][CH2:10][CH2:11]2)[cH:12]1>>[cH:1]1[cH:2][n:3][cH:4][c:5]([C:6]2=[N:7][NH:8][CH2:9][CH2:10][CH2:11]2)[cH:12]1,"[['N:7 - O:15', 'N:7 - H'], ['C:6 = N:8']]","[['N:8 - H', 'C:6 = N:7', 'N:7 - N:8']]",[],"[(0, '[#7:2]', 'N:7 - H', 'N', 'SINGLE', 'H', '[#7]', '[H]'), (1, '[#7&X2;H1,H0;!$([#7&X2][#7,#8,#9,#15,#16,#17,Br,I]):1]=[#6&X3:2]', 'C:6 = N:8', 'C', 'DOUBLE', 'N')]","[(0, '[#7:2]1[#7]=[#6][#6][#6][#6]1', 'N:8 - H', 'N', 'SINGLE', 'H', '[#7]1[#7]=[#6][#6][#6][#6]1', '[H]'), (0, '[#7]1[#7:1]=[#6:2][#6][#6][#6]1', 'C:6 = N:7', 'C', 'DOUBLE', 'N'), (0, '[#7:1]1[#7:2]=[#6][#6][#6][#6]1', 'N:7 - N:8', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:7 - O:15', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]'), (1, '[#6]=[#7]', 'C:6 = N:8', 'C', 'DOUBLE', 'N', '[#6]', '[#7]')]","[(0, '[#6]=[#7]', 'C:6 = N:7', 'C', 'DOUBLE', 'N', '[#6]', '[#7]'), (0, '[#7]-[#7]', 'N:7 - N:8', 'N', 'SINGLE', 'N', '[#7]', '[#7]')]"
c2,NOP(=O)(c1ccccc1)c1ccccc1.c1cnc2ncccc2c1>>N[n+]1cccc2cccnc21,N[n+]1cccc2cccnc21,[NH2:1][O:14][P:13](=[O:12])([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1.[n:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][n:10][c:11]12>>[NH2:1][n+:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][n:10][c:11]12,"[['N:1 - O:14'], None]",[['N:1 - N:2']],[],[],"[(0, '[N:1][n&+:2]1ccccc1', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:14', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#6][#6][#7]([#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#6][#6][#7][#6][#6]1', '[#7]')]"
c2,NOP(=O)(c1ccccc1)c1ccccc1.O=c1cccccc1>>ON=c1cccccc1,ON=c1cccccc1,[H][O:9][H].[NH2:1]OP(c1ccccc1)(c2ccccc2)=O.O=[C:2]3[CH:3]=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]3>>[OH:9]/[N:1]=[C:2]4[CH:3]=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]/4,"[['N:2 - H', 'O:1 - P:11'], ['C:3 = O:24']]","[['C:3 = N:2', 'O:1 - H']]",[],[],"[(0, '[#6:1]1[#6:2][#6][#6][#6][#6][#6]1', 'C:3 = N:2', 'C', 'DOUBLE', 'N'), (0, '[#7:2][#8&X2&H1]', 'O:1 - H', 'O', 'SINGLE', 'H', '[#7][#8X2H]', '[H]')]",[],[]
c2,NOP(=O)(c1ccccc1)c1ccccc1.O=C1C=CN(C(=O)OCc2ccccc2)CC1>>N[N+]1(C(=O)OCc2ccccc2)C=CC(=O)CC1,N[N+]1(C(=O)OCc2ccccc2)C=CC(=O)CC1,[NH2:1][O:21][P:20](=[O:19])([c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1)[c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1.[N:2]1([C:3](=[O:4])[O:5][CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH:13]=[CH:14][C:15](=[O:16])[CH2:17][CH2:18]1>>[NH2:1][N+:2]1([C:3](=[O:4])[O:5][CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[CH:13]=[CH:14][C:15](=[O:16])[CH2:17][CH2:18]1,"[['N:1 - O:21'], None]",[['N:1 - N:2']],[],[],"[(0, '[#6&X3](=[#8])[#7;H1,H0:1][#7;X3&H1&+0,X3&H2&+0,X3&H0&+0:2]', 'N:1 - N:2', 'N', 'SINGLE', 'N')]","[(0, '[#8]=[#15]([#8]-[#7])(c)c', 'N:1 - O:21', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6]1[#7]([#6]=[#6][#6][#6]1)-[#7]', 'N:1 - N:2', 'N', 'SINGLE', 'N', '[#6]1[#7][#6]=[#6][#6][#6]1', '[#7]')]"
c2,Fc1ccc(F)c(C2=NCCC2)c1.NOP(=O)(c1ccccc1)c1ccccc1>>Fc1ccc(F)c(C2=NNCCC2)c1,Fc1ccc(F)c(C2=NNCCC2)c1,[F:1][c:2]1[cH:13][c:7]([C:8]2=[N:9][CH2:10][CH2:11][CH2:12]2)[c:5]([F:6])[cH:4][cH:3]1.[NH2:14]OP(c3ccccc3)(c4ccccc4)=O>>[F:1][c:2]5[cH:13][c:7]([C:8]6=[N:14][NH:9][CH2:10][CH2:11][CH2:12]6)[c:5]([F:6])[cH:4][cH:3]5,"[['C:11 - N:9'], ['N:10 - H', 'N:10 - O:17']]","[['C:11 - N:10', 'N:9 - N:10']]",[],[],"[(0, '[#7]1[#7]=[#6][#6][#6:1][#6:2]1', 'C:11 - N:10', 'C', 'SINGLE', 'N'), (0, '[#7:2]1[#7]=[#6][#6][#6][#6:1]1', 'N:9 - N:10', 'N', 'SINGLE', 'N')]",[],"[(0, '[#6]-[#6]', 'C:11 - N:10', 'C', 'SINGLE', 'C', '[#6]', '[#6]'), (0, '[#6]-[#7][#7&X2]=[#6&X3]', 'N:9 - N:10', 'C', 'SINGLE', 'N', '[#6]', '[#7][#7X2]=[#6X3]')]"
c2,Cc1ccc2c(c1)C(=O)OC2=O.NOP(=O)(c1ccccc1)c1ccccc1>>Cc1ccc(C(N)=O)c(C(=O)O)c1,Cc1ccc(C(N)=O)c(C(=O)O)c1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:9]([cH:13]1)[C:10](=[O:11])[O:12][C:6]2=[O:8].[NH2:7][O:16][P:15](=[O:14])([c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6]([NH2:7])=[O:8])[c:9]([C:10](=[O:11])[OH:12])[cH:13]1,"[['C:6 - O:12'], ['N:7 - O:16']]","[['C:6 - N:7', 'O:12 - H']]",[],"[(0, '[#6&R](=[#8])[#8&R:1][#6:2]', 'C:6 - O:12', 'C', 'SINGLE', 'O')]","[(0, '[#6:1](=[#8])[#7:2]', 'C:6 - N:7', 'C', 'SINGLE', 'N'), (0, '[#6](=[#8])[#8&X2&H1:2]', 'O:12 - H', 'O', 'SINGLE', 'H', '[#6](=[#8])[#8X2H]', '[H]')]","[(0, '[#6](=[#8])-[#8]', 'C:6 - O:12', 'C', 'SINGLE', 'O', '[#6]=[#8]', '[#8]'), (1, '[#8]=[#15]([#8]-[#7])(c)c', 'N:7 - O:16', 'O', 'SINGLE', 'N', '[#8]=[#15]([#8])([c])[c]', '[#7]')]","[(0, '[#6](=[#8])-[#7]', 'C:6 - N:7', 'C', 'SINGLE', 'N', '[#6]=[#8]', '[#7]')]"
