SMILES	CANSMILES	price(100mg)	source
BrC(C=N1)=CC(Br)=C1N	Nc1ncc(Br)cc1Br	1.6	现货目录
BrC(C=N1)=CC(C(F)(F)F)=C1N	Nc1ncc(Br)cc1C(F)(F)F	2.1	现货目录
BrC(C=N1)=CC(C(O)=O)=C1F	O=C(O)c1cc(Br)cnc1F	1.8	现货目录
BrC(C=N1)=CC(C(O)=O)=C1N	Nc1ncc(Br)cc1C(=O)O	2.2	现货目录
BrC(C=N1)=CC(Cl)=C1C(O)=O	O=C(O)c1ncc(Br)cc1Cl	1.8	现货目录
BrC(C=N1)=CC(F)=C1C(O)=O	O=C(O)c1ncc(Br)cc1F	5.1	现货目录
BrC(C=N1)=CC(I)=C1N	Nc1ncc(Br)cc1I	1.8	现货目录
BrC(C=N1)=CC(N)=C1N	Nc1cc(Br)cnc1N	1.8	现货目录
BrC(C=N1)=CC(O)=C1Cl	Oc1cc(Br)cnc1Cl	4.7	现货目录
BrC(C=N1)=CC(OCC2=CC=CC=C2)=C1N	Nc1ncc(Br)cc1OCc1ccccc1	8.3	现货目录
BrC(N=CC(Cl)=N1)=C1N	Nc1nc(Cl)cnc1Br	2.1	现货目录
BrC(S1)=CC2=C1C=C(Br)S2	Brc1cc2sc(Br)cc2s1	12.4	有机化学清单
BrC/C=C/CBr	BrC/C=C/CBr	0.25	有机化学清单
BrC1(C2=CC=CC=C2C2=CC=CC=C12)C1=CC=CC=C1	BrC1(c2ccccc2)c2ccccc2-c2ccccc21	11.2	有机化学清单
BrC12CC3CC(C2)CC(C3)C1	BrC12CC3CC(CC(C3)C1)C2	0.22	有机化学清单
BrC1=C(Br)C(=O)NC1=O	O=C1NC(=O)C(Br)=C1Br	12.8	有机化学清单
BrC1=C(Br)C(Br)=C(Br)S1	Brc1sc(Br)c(Br)c1Br	0.64	有机化学清单
BrC1=C(Br)C(Br)=CC=C1	Brc1cccc(Br)c1Br	26	有机化学清单
BrC1=C(Br)C(Br)=NN=C1	Brc1cnnc(Br)c1Br	26	有机化学清单
BrC1=C(Br)C=C2C(NC=N2)=C1	Brc1cc2nc[nH]c2cc1Br	29	有机化学清单
BrC1=C(Br)C=C2C(OCCO2)=C1	Brc1cc2c(cc1Br)OCCO2	10.8	有机化学清单
BrC1=C(Br)C=C2C=CC=CC2=C1	Brc1cc2ccccc2cc1Br	21	有机化学清单
BrC1=C(Br)C=C2OCOC2=C1	Brc1cc2c(cc1Br)OCO2	0.54	有机化学清单
BrC1=C(Br)C=NC=C1	Brc1ccncc1Br	3.4	有机化学清单
BrC1=C(Br)SC2=CC=CC=C21	Brc1sc2ccccc2c1Br	8.8	有机化学清单
BrC1=C(C#N)C(=CC=C1)C	Cc1cccc(Br)c1C#N	22	有机化学清单
BrC1=C(C#N)C=CC(=C1)OC(F)(F)F	N#Cc1ccc(OC(F)(F)F)cc1Br	3	有机化学清单
BrC1=C(C#N)N=C(CC)C(Cl)=N1	CCc1nc(C#N)c(Br)nc1Cl	12.8	有机化学清单
BrC1=C(C(=CC(=C1)Cl)[N+](=O)[O-])N	Nc1c(Br)cc(Cl)cc1[N+](=O)[O-]	2.4	有机化学清单
BrC1=C(C(=CC(=C1)N)F)OC	COc1c(F)cc(N)cc1Br	10.3	现货目录
BrC1=C(C(=CC=C1)[N+](=O)[O-])Cl	O=[N+]([O-])c1cccc(Br)c1Cl	10.8	有机化学清单
BrC1=C(C(=O)O)C(=CC=C1)C	Cc1cccc(Br)c1C(=O)O	1.8	现货目录
BrC1=C(C(=O)O)C=C(C=N1)Br	O=C(O)c1cc(Br)cnc1Br	15.2	有机化学清单
BrC1=C(C(=O)O)C=CC=C1C	Cc1cccc(C(=O)O)c1Br	1.6	现货目录
BrC1=C(C(=O)O)C=CC=C1F	O=C(O)c1cccc(F)c1Br	3.7	有机化学清单
BrC1=C(C(=O)OC)C(=CC=C1)C	COC(=O)c1c(C)cccc1Br	2.4	有机化学清单
BrC1=C(C(=O)OC)C=CC(=C1)C	COC(=O)c1ccc(C)cc1Br	2.9	有机化学清单
BrC1=C(C(=O)OC)C=CC=C1C	COC(=O)c1cccc(C)c1Br	2.4	有机化学清单
BrC1=C(C(O)=O)C(F)=CC=C1	O=C(O)c1c(F)cccc1Br	1.6	现货目录
BrC1=C(C(O)=O)C(N)=CC=C1	Nc1cccc(Br)c1C(=O)O	2.7	现货目录
BrC1=C(C(O)=O)C=CC(C(C)(C)C)=C1	CC(C)(C)c1ccc(C(=O)O)c(Br)c1	31.5	现货目录
BrC1=C(C(O)=O)C=CC(Cl)=C1	O=C(O)c1ccc(Cl)cc1Br	1.6	现货目录
BrC1=C(C(O)=O)C=CC(F)=C1	O=C(O)c1ccc(F)cc1Br	1.6	现货目录
BrC1=C(C=C(C#N)C=C1)F	N#Cc1ccc(Br)c(F)c1	2.2	有机化学清单
BrC1=C(C=C(C(=C1)F)[N+](=O)[O-])O	O=[N+]([O-])c1cc(O)c(Br)cc1F	12.4	有机化学清单
BrC1=C(C=C(C(=O)O)C=C1)C(F)(F)F	O=C(O)c1ccc(Br)c(C(F)(F)F)c1	1.8	现货目录
BrC1=C(C=C(C(=O)O)C=C1)O	O=C(O)c1ccc(Br)c(O)c1	3.1	有机化学清单
BrC1=C(C=C(C(=O)O)C=C1)OC	COc1cc(C(=O)O)ccc1Br	8.8	有机化学清单
BrC1=C(C=C(C(=O)OC)C=C1)O	COC(=O)c1ccc(Br)c(O)c1	8.8	有机化学清单
BrC1=C(C=C(C=C1)C(C)=O)F	CC(=O)c1ccc(Br)c(F)c1	12	有机化学清单
BrC1=C(C=C(C=C1)C(F)(F)F)Cl	FC(F)(F)c1ccc(Br)c(Cl)c1	0.62	有机化学清单
BrC1=C(C=C(C=C1)C(F)(F)F)I	FC(F)(F)c1ccc(Br)c(I)c1	1.18	有机化学清单
BrC1=C(C=C(C=C1)C)N	Cc1ccc(Br)c(N)c1	1.7	现货目录
BrC1=C(C=C(C=C1)F)CO	OCc1cc(F)ccc1Br	1.6	现货目录
BrC1=C(C=C(C=C1)O)[N+](=O)[O-]	O=[N+]([O-])c1cc(O)ccc1Br	3.5	有机化学清单
BrC1=C(C=C(C=C1)OC(F)(F)F)F	Fc1cc(OC(F)(F)F)ccc1Br	3.6	有机化学清单
BrC1=C(C=C(C=C1)OC)C(F)(F)F	COc1ccc(Br)c(C(F)(F)F)c1	3	有机化学清单
BrC1=C(C=C(C=C1)OC)Cl	COc1ccc(Br)c(Cl)c1	0.9	有机化学清单
BrC1=C(C=C(C=C1)OC)F	COc1ccc(Br)c(F)c1	2.3	有机化学清单
BrC1=C(C=C(C=C1)[N+](=O)[O-])C=O	O=Cc1cc([N+](=O)[O-])ccc1Br	1.12	有机化学清单
BrC1=C(C=C(I)C=C1)C#N	N#Cc1cc(I)ccc1Br	26	有机化学清单
BrC1=C(C=C(N)C=C1)OC	COc1cc(N)ccc1Br	1.6	现货目录
BrC1=C(C=CC(=C1)C#N)C	Cc1ccc(C#N)cc1Br	0.4	有机化学清单
BrC1=C(C=CC(=C1)C(=O)O)Cl	O=C(O)c1ccc(Cl)c(Br)c1	0.5	有机化学清单
BrC1=C(C=CC(=C1)CC(=O)O)F	O=C(O)Cc1ccc(F)c(Br)c1	1.02	有机化学清单
BrC1=C(C=CC(=C1)Cl)F	Fc1ccc(Cl)cc1Br	1.9	有机化学清单
BrC1=C(C=CC(=C1)Cl)[N+](=O)[O-]	O=[N+]([O-])c1ccc(Cl)cc1Br	11.6	有机化学清单
BrC1=C(C=CC(=C1)F)CC(=O)O	O=C(O)Cc1ccc(F)cc1Br	1.02	有机化学清单
BrC1=C(C=CC(=C1)F)[N+](=O)[O-]	O=[N+]([O-])c1ccc(F)cc1Br	0.62	有机化学清单
BrC1=C(C=CC(=C1)N)F	Nc1ccc(F)c(Br)c1	0.42	有机化学清单
BrC1=C(C=CC(=C1)N)OC(F)(F)F	Nc1ccc(OC(F)(F)F)c(Br)c1	0.88	有机化学清单
BrC1=C(C=CC(=C1)N)[N+](=O)[O-]	Nc1ccc([N+](=O)[O-])c(Br)c1	1.9	现货目录
BrC1=C(C=CC(=C1)O)OC	COc1ccc(O)cc1Br	8.8	有机化学清单
