SMILES	CANSMILES	price(100mg)	source
CC1(C)C(C)(C)OB(C2=C(C)N(C)N=C2)O1	Cc1c(B2OC(C)(C)C(C)(C)O2)cnn1C	11.6	有机化学清单
CC1(C)C(C)(C)OB(C2=C(C)N(C)N=C2C)O1	Cc1nn(C)c(C)c1B1OC(C)(C)C(C)(C)O1	8	有机化学清单
CC1(C)C(C)(C)OB(C2=C(C)N=C(C)S2)O1	Cc1nc(C)c(B2OC(C)(C)C(C)(C)O2)s1	53.3	现货目录
CC1(C)C(C)(C)OB(C2=C(C)N=C(CC)S2)O1	CCc1nc(C)c(B2OC(C)(C)C(C)(C)O2)s1	71.5	现货目录
CC1(C)C(C)(C)OB(C2=C(C)NN=C2C)O1	Cc1n[nH]c(C)c1B1OC(C)(C)C(C)(C)O1	1.9	现货目录
CC1(C)C(C)(C)OB(C2=C(C)ON=C2)O1	Cc1oncc1B1OC(C)(C)C(C)(C)O1	61.6	现货目录
CC1(C)C(C)(C)OB(C2=C(C)ON=C2C)O1	Cc1noc(C)c1B1OC(C)(C)C(C)(C)O1	11.6	有机化学清单
CC1(C)C(C)(C)OB(C2=C(C3=C45)C=CC5=CC=CC4=CC=C3C=C2)O1	CC1(C)OB(c2ccc3ccc4cccc5ccc2c3c45)OC1(C)C	3.3	有机化学清单
CC1(C)C(C)(C)OB(C2=C(C=C(C=C2)C(=O)O)Cl)O1	CC1(C)OB(c2ccc(C(=O)O)cc2Cl)OC1(C)C	7.7	现货目录
CC1(C)C(C)(C)OB(C2=C(C=C(C=C2)C(=O)OC)OC)O1	COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)c(OC)c1	54.4	现货目录
CC1(C)C(C)(C)OB(C2=C(C=C(C=C2)C(F)(F)F)Cl)O1	CC1(C)OB(c2ccc(C(F)(F)F)cc2Cl)OC1(C)C	19.6	现货目录
CC1(C)C(C)(C)OB(C2=C(C=C(C=C2)CN3CCOCC3)F)O1	CC1(C)OB(c2ccc(CN3CCOCC3)cc2F)OC1(C)C	38.2	现货目录
CC1(C)C(C)(C)OB(C2=C(C=C(C=C2)F)F)O1	CC1(C)OB(c2ccc(F)cc2F)OC1(C)C	2	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC(=C2)C(F)(F)F)C(F)(F)F)O1	CC1(C)OB(c2cc(C(F)(F)F)ccc2C(F)(F)F)OC1(C)C	56.2	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC(=C2)C(F)(F)F)Cl)O1	CC1(C)OB(c2cc(C(F)(F)F)ccc2Cl)OC1(C)C	8.1	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC(=C2)C=O)Cl)O1	CC1(C)OB(c2cc(C=O)ccc2Cl)OC1(C)C	15.3	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC(=C2)C=O)OC)O1	COc1ccc(C=O)cc1B1OC(C)(C)C(C)(C)O1	89.5	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC(=C2)OC)OC)O1	COc1ccc(OC)c(B2OC(C)(C)C(C)(C)O2)c1	1.8	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC(=C2)[N+](=O)[O-])F)O1	CC1(C)OB(c2cc([N+](=O)[O-])ccc2F)OC1(C)C	2.9	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC=C2Cl)Cl)O1	CC1(C)OB(c2c(Cl)cccc2Cl)OC1(C)C	14	现货目录
CC1(C)C(C)(C)OB(C2=C(C=CC=C2OC)F)O1	COc1cccc(F)c1B1OC(C)(C)C(C)(C)O1	12	现货目录
CC1(C)C(C)(C)OB(C2=C(Cl)C(C)=CC3=C2C=NN3C4CCCCO4)O1	Cc1cc2c(cnn2C2CCCCO2)c(B2OC(C)(C)C(C)(C)O2)c1Cl	25.4	现货目录
CC1(C)C(C)(C)OB(C2=C(Cl)C=NC=C2)O1	CC1(C)OB(c2ccncc2Cl)OC1(C)C	21.5	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C(F)=NC=C2)O1	CC1(C)OB(c2ccnc(F)c2F)OC1(C)C	34.1	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C=C(Br)C=C2F)O1	CC1(C)OB(c2c(F)cc(Br)cc2F)OC1(C)C	7	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C=C(C#N)C=C2)O1	CC1(C)OB(c2ccc(C#N)cc2F)OC1(C)C	20.2	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C=C(Cl)C=C2F)O1	CC1(C)OB(c2c(F)cc(Cl)cc2F)OC1(C)C	32.2	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C=CC=C2Cl)O1	CC1(C)OB(c2c(F)cccc2Cl)OC1(C)C	17.5	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C=CC=C2OCC3=CC=CC=C3)O1	CC1(C)OB(c2c(F)cccc2OCc2ccccc2)OC1(C)C	22.8	有机化学清单
CC1(C)C(C)(C)OB(C2=C(F)C=CN=C2OC)O1	COc1nccc(F)c1B1OC(C)(C)C(C)(C)O1	79.6	现货目录
CC1(C)C(C)(C)OB(C2=C(F)C=NC=C2)O1	CC1(C)OB(c2ccncc2F)OC1(C)C	3.6	现货目录
CC1(C)C(C)(C)OB(C2=C(OC)C=CC=C2Cl)O1	COc1cccc(Cl)c1B1OC(C)(C)C(C)(C)O1	7.7	现货目录
CC1(C)C(C)(C)OB(C2=C(OC)C=CC=C2OC)O1	COc1cccc(OC)c1B1OC(C)(C)C(C)(C)O1	2	现货目录
CC1(C)C(C)(C)OB(C2=C(OC)C=CN=C2)O1	COc1ccncc1B1OC(C)(C)C(C)(C)O1	8.4	现货目录
CC1(C)C(C)(C)OB(C2=C(OC=N3)C3=CC=C2)O1	CC1(C)OB(c2cccc3ncoc23)OC1(C)C	42.4	现货目录
CC1(C)C(C)(C)OB(C2=C(OCC3)C3=CC=C2)O1	CC1(C)OB(c2cccc3c2OCC3)OC1(C)C	29.6	现货目录
CC1(C)C(C)(C)OB(C2=C3C(C4=CC=C(C)N=C4O3)=CC=C2)O1	Cc1ccc2c(n1)oc1c(B3OC(C)(C)C(C)(C)O3)cccc12	10.5	现货目录
CC1(C)C(C)(C)OB(C2=C3C(CC)=C(F)C=CC3=CC(OCOC)=C2)O1	CCc1c(F)ccc2cc(OCOC)cc(B3OC(C)(C)C(C)(C)O3)c12	20.1	现货目录
CC1(C)C(C)(C)OB(C2=C3C(OC4=C(Cl)C=CC=C34)=CC=C2)O1	CC1(C)OB(c2cccc3oc4c(Cl)cccc4c23)OC1(C)C	25.7	有机化学清单
CC1(C)C(C)(C)OB(C2=C3C(OC4=CC(Cl)=CC=C34)=CC=C2)O1	CC1(C)OB(c2cccc3oc4cc(Cl)ccc4c23)OC1(C)C	45.5	现货目录
CC1(C)C(C)(C)OB(C2=C3C=CC=CC3=CC4=CC=CC=C24)O1	CC1(C)OB(c2c3ccccc3cc3ccccc23)OC1(C)C	11.6	有机化学清单
CC1(C)C(C)(C)OB(C2=C3C=CC=NC3=CC=C2)O1	CC1(C)OB(c2cccc3ncccc23)OC1(C)C	15	现货目录
CC1(C)C(C)(C)OB(C2=C3OC4=CC=CC=C4C3=CC=C2)O1	CC1(C)OB(c2cccc3c2oc2ccccc23)OC1(C)C	26	有机化学清单
CC1(C)C(C)(C)OB(C2=C3OC=CC3=CC=C2)O1	CC1(C)OB(c2cccc3ccoc23)OC1(C)C	45.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(C(=C2)Cl)OC)Cl)O1	COc1c(Cl)cc(B2OC(C)(C)C(C)(C)O2)cc1Cl	38.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(C(=C2)F)N)F)O1	CC1(C)OB(c2cc(F)c(N)c(F)c2)OC1(C)C	48.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(C(=C2)OC)OC)OC)O1	COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1OC	34.6	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)Br)F)O1	CC1(C)OB(c2ccc(Br)c(F)c2)OC1(C)C	23.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)C(=O)O)Cl)O1	CC1(C)OB(c2ccc(C(=O)O)c(Cl)c2)OC1(C)C	14.2	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)C(=O)OC)OC)O1	COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1OC	11.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(F)N=C2)OC)O1	COc1cc(B2OC(C)(C)C(C)(C)O2)cnc1F	90.9	现货目录
CC1(C)C(C)(C)OB(C2=CC(=C(N=C2)OC)C(=O)OC)O1	COC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cnc1OC	43.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CC(=C2)C(=O)O)[N+](=O)[O-])O1	CC1(C)OB(c2cc(C(=O)O)cc([N+](=O)[O-])c2)OC1(C)C	10.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CC=C2)N3CCCC3)O1	CC1(C)OB(c2cccc(N3CCCC3)c2)OC1(C)C	66.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CC=C2)N3CCCCC3)O1	CC1(C)OB(c2cccc(N3CCCCC3)c2)OC1(C)C	17	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CC=C2)OC(F)F)O1	CC1(C)OB(c2cccc(OC(F)F)c2)OC1(C)C	36.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CC=C2OC)Cl)O1	COc1ccc(Cl)cc1B1OC(C)(C)C(C)(C)O1	3.6	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CN=C2)OC3=CC=CC=C3)O1	CC1(C)OB(c2cncc(Oc3ccccc3)c2)OC1(C)C	23.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(=CS2)C(=O)OC)O1	COC(=O)c1csc(B2OC(C)(C)C(C)(C)O2)c1	44.7	现货目录
CC1(C)C(C)(C)OB(C2=CC(=NC(=C2)F)F)O1	CC1(C)OB(c2cc(F)nc(F)c2)OC1(C)C	29.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(=NC=C2)C(=O)OC)O1	COC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)ccn1	26.4	现货目录
CC1(C)C(C)(C)OB(C2=CC(Br)=C(F)C(F)=C2F)O1	CC1(C)OB(c2cc(Br)c(F)c(F)c2F)OC1(C)C	89.4	现货目录
CC1(C)C(C)(C)OB(C2=CC(Br)=CN=C2F)O1	CC1(C)OB(c2cc(Br)cnc2F)OC1(C)C	8.5	现货目录
CC1(C)C(C)(C)OB(C2=CC(C(C)(C)C)=C3C=CC=CC3=C2)O1	CC(C)(C)c1cc(B2OC(C)(C)C(C)(C)O2)cc2ccccc12	38.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)O1	CC(C)(C)c1cc(B2OC(C)(C)C(C)(C)O2)cc(C(C)(C)C)c1	8.7	现货目录
CC1(C)C(C)(C)OB(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)O1	CC1(C)OB(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)OC1(C)C	1.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(C(F)(F)F)=CC(OC)=C2)O1	COc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(F)(F)F)c1	7.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(C(F)(F)F)=CC=C2OCC)O1	CCOc1ccc(C(F)(F)F)cc1B1OC(C)(C)C(C)(C)O1	11	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(C)=C(Cl)S2)O1	Cc1cc(B2OC(C)(C)C(C)(C)O2)sc1Cl	22.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=C(OC)C(C)=C2)O1	COc1c(C)cc(B2OC(C)(C)C(C)(C)O2)cc1C	5.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=CC(C)=C2)O1	Cc1cc(C)cc(B2OC(C)(C)C(C)(C)O2)c1	2.1	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(C)=CC(Cl)=C2)O1	Cc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1	64.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=CC=C2C)O1	Cc1ccc(C)c(B2OC(C)(C)C(C)(C)O2)c1	2.5	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=CC=C2Cl)O1	Cc1ccc(Cl)c(B2OC(C)(C)C(C)(C)O2)c1	18.5	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=CC=C2F)O1	Cc1ccc(F)c(B2OC(C)(C)C(C)(C)O2)c1	8.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=CC=C2OC)O1	COc1ccc(C)cc1B1OC(C)(C)C(C)(C)O1	17.2	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=NC(C)=C2)O1	Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(C)n1	9.9	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=NN2C)O1	Cc1cc(B2OC(C)(C)C(C)(C)O2)n(C)n1	7.9	现货目录
CC1(C)C(C)(C)OB(C2=CC(C)=NN2C3OCCCC3)O1	Cc1cc(B2OC(C)(C)C(C)(C)O2)n(C2CCCCO2)n1	68.5	现货目录
CC1(C)C(C)(C)OB(C2=CC(C3=CC=CC(C4=CC=CC=C4)=C3)=CC=C2)O1	CC1(C)OB(c2cccc(-c3cccc(-c4ccccc4)c3)c2)OC1(C)C	25.6	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(CCCO3)=C3C=C2)O1	CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C	17.4	现货目录
CC1(C)C(C)(C)OB(C2=CC(CN3CCOCC3)=CC=C2)O1	CC1(C)OB(c2cccc(CN3CCOCC3)c2)OC1(C)C	4.3	现货目录
CC1(C)C(C)(C)OB(C2=CC(Cl)=CC=C2F)O1	CC1(C)OB(c2cc(Cl)ccc2F)OC1(C)C	7.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(Cl)=NC(C)=C2)O1	Cc1cc(B2OC(C)(C)C(C)(C)O2)cc(Cl)n1	43.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(Cl)=NC(Cl)=C2)O1	CC1(C)OB(c2cc(Cl)nc(Cl)c2)OC1(C)C	4.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(Cl)=NC(F)=C2)O1	CC1(C)OB(c2cc(F)nc(Cl)c2)OC1(C)C	33.7	现货目录
CC1(C)C(C)(C)OB(C2=CC(F)=C(C(F)(F)F)C(F)=C2)O1	CC1(C)OB(c2cc(F)c(C(F)(F)F)c(F)c2)OC1(C)C	27.8	现货目录
CC1(C)C(C)(C)OB(C2=CC(F)=CC(OC(F)F)=C2)O1	CC1(C)OB(c2cc(F)cc(OC(F)F)c2)OC1(C)C	58.6	现货目录
CC1(C)C(C)(C)OB(C2=CC(F)=CC([N+]([O-])=O)=C2C)O1	Cc1c(B2OC(C)(C)C(C)(C)O2)cc(F)cc1[N+](=O)[O-]	71.5	现货目录
CC1(C)C(C)(C)OB(C2=CC(F)=CC=C2C)O1	Cc1ccc(F)cc1B1OC(C)(C)C(C)(C)O1	21.2	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(F)=CC=C2OC)O1	COc1ccc(F)cc1B1OC(C)(C)C(C)(C)O1	4.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(F)=CN=C2OC)O1	COc1ncc(F)cc1B1OC(C)(C)C(C)(C)O1	15.7	现货目录
CC1(C)C(C)(C)OB(C2=CC(F)=NC=C2)O1	CC1(C)OB(c2ccnc(F)c2)OC1(C)C	2.1	现货目录
CC1(C)C(C)(C)OB(C2=CC(I)=CC=C2F)O1	CC1(C)OB(c2cc(I)ccc2F)OC1(C)C	14.6	现货目录
CC1(C)C(C)(C)OB(C2=CC(N3C4=C(C5=C3C=CC=C5)C=CC=C4)=CC=C2)O1	CC1(C)OB(c2cccc(-n3c4ccccc4c4ccccc43)c2)OC1(C)C	8.8	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(N3CCN(C)CC3)=NC=C2)O1	CN1CCN(c2cc(B3OC(C)(C)C(C)(C)O3)ccn2)CC1	62.6	现货目录
CC1(C)C(C)(C)OB(C2=CC(N3CCOCC3)=CC=C2)O1	CC1(C)OB(c2cccc(N3CCOCC3)c2)OC1(C)C	5.2	现货目录
CC1(C)C(C)(C)OB(C2=CC(N3CCOCC3)=NC=C2)O1	CC1(C)OB(c2ccnc(N3CCOCC3)c2)OC1(C)C	71.5	现货目录
CC1(C)C(C)(C)OB(C2=CC(N3N=CC=C3)=CC=C2)O1	CC1(C)OB(c2cccc(-n3cccn3)c2)OC1(C)C	17.7	现货目录
CC1(C)C(C)(C)OB(C2=CC(OC(C)=O)=CC=C2)O1	CC(=O)Oc1cccc(B2OC(C)(C)C(C)(C)O2)c1	12.3	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(OC(F)F)=NC=C2)O1	CC1(C)OB(c2ccnc(OC(F)F)c2)OC1(C)C	53.9	现货目录
CC1(C)C(C)(C)OB(C2=CC(OC)=CC(OC)=C2)O1	COc1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1	2.7	现货目录
CC1(C)C(C)(C)OB(C2=CC(OC)=CC=C2F)O1	COc1ccc(F)c(B2OC(C)(C)C(C)(C)O2)c1	24.4	有机化学清单
CC1(C)C(C)(C)OB(C2=CC(OCC)=NC=C2)O1	CCOc1cc(B2OC(C)(C)C(C)(C)O2)ccn1	71	现货目录
CC1(C)C(C)(C)OB(C2=CC(O[Si](C)(C(C)(C)C)C)=CC(F)=C2F)O1	CC1(C)OB(c2cc(O[Si](C)(C)C(C)(C)C)cc(F)c2F)OC1(C)C	56.2	现货目录
CC1(C)C(C)(C)OB(C2=CC([N+]([O-])=O)=CC(OC)=C2)O1	COc1cc(B2OC(C)(C)C(C)(C)O2)cc([N+](=O)[O-])c1	49.9	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)C=CN3)O1	CC1(C)OB(c2ccc3cc[nH]c3c2)OC1(C)C	7.5	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)C=CN3C)O1	Cn1ccc2ccc(B3OC(C)(C)C(C)(C)O3)cc21	39	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)C=NN3C)O1	Cn1ncc2ccc(B3OC(C)(C)C(C)(C)O3)cc21	10.9	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)N(CC)C4=C3C=CC=C4)O1	CCn1c2ccccc2c2cc(B3OC(C)(C)C(C)(C)O3)ccc21	36.9	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)NC4=C3C=CC=C4)O1	CC1(C)OB(c2ccc3[nH]c4ccccc4c3c2)OC1(C)C	3.1	有机化学清单
CC1(C)C(C)(C)OB(C2=CC3=C(C=CC=N3)C=C2)O1	CC1(C)OB(c2ccc3cccnc3c2)OC1(C)C	37.1	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(N(C(OC(C)(C)C)=O)N=C3)C=C2)O1	CC(C)(C)OC(=O)n1ncc2cc(B3OC(C)(C)C(C)(C)O3)ccc21	27	有机化学清单
CC1(C)C(C)(C)OB(C2=CC3=C(N(C)C=C3)C=C2)O1	Cn1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21	6.2	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(N(C)N=C3C)C=C2)O1	Cc1nn(C)c2ccc(B3OC(C)(C)C(C)(C)O3)cc12	60.1	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(N4C5=C3C=CC=C5)C(C6=C4C=CC=C6)=C2)O1	CC1(C)OB(c2cc3c4ccccc4n4c5ccccc5c(c2)c34)OC1(C)C	46.5	现货目录
CC1(C)C(C)(C)OB(C2=CC3=C(NCC3)C=C2)O1	CC1(C)OB(c2ccc3c(c2)CCN3)OC1(C)C	51.6	现货目录
CC1(C)C(C)(C)OB(C2=CC3=CC=CC=C3C2)O1	CC1(C)OB(C2=Cc3ccccc3C2)OC1(C)C	33	现货目录
CC1(C)C(C)(C)OB(C2=CC3=CC=CC=C3O2)O1	CC1(C)OB(c2cc3ccccc3o2)OC1(C)C	8.7	现货目录
CC1(C)C(C)(C)OB(C2=CC3=CC=CC=C3S2)O1	CC1(C)OB(c2cc3ccccc3s2)OC1(C)C	4.2	现货目录
CC1(C)C(C)(C)OB(C2=CC3NC4=C(C=CC=C4)C3C=C2)O1	CC1(C)OB(C2=CC3Nc4ccccc4C3C=C2)OC1(C)C	5	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(B3OC(C)(C)C(C)(C)O3)C4=NSN=C42)O1	CC1(C)OB(c2ccc(B3OC(C)(C)C(C)(C)O3)c3nsnc23)OC1(C)C	19.6	有机化学清单
CC1(C)C(C)(C)OB(C2=CC=C(Br)S2)O1	CC1(C)OB(c2ccc(Br)s2)OC1(C)C	13.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(=C2)C(=O)O)OC)O1	COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1C(=O)O	32.8	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(=C2)OC)O)O1	COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O	8.3	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(=O)O)S2)O1	CC1(C)OB(c2ccc(C(=O)O)s2)OC1(C)C	30.7	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(F)(F)F)C(F)=C2)O1	CC1(C)OB(c2ccc(C(F)(F)F)c(F)c2)OC1(C)C	5.5	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(F)(F)F)C=C2F)O1	CC1(C)OB(c2ccc(C(F)(F)F)cc2F)OC1(C)C	11.2	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(F)(F)F)C=C2OC)O1	COc1cc(C(F)(F)F)ccc1B1OC(C)(C)C(C)(C)O1	42.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C(F)F)C=C2)O1	CC1(C)OB(c2ccc(C(F)F)cc2)OC1(C)C	12.9	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C)C(F)=C2)O1	Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1F	3.3	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C)C(OC)=C2)O1	COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1C	9.6	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C3=CC=C(C4=CC=CC=C4)C=C3)C=C2)O1	CC1(C)OB(c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)OC1(C)C	14	有机化学清单
CC1(C)C(C)(C)OB(C2=CC=C(C3=CC=C4C=CC=CC4=C3)C=C2)O1	CC1(C)OB(c2ccc(-c3ccc4ccccc4c3)cc2)OC1(C)C	7.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C3=CC=CC=C3)S2)O1	CC1(C)OB(c2ccc(-c3ccccc3)s2)OC1(C)C	13	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C3=NC4=CC=CC=C4S3)C=C2)O1	CC1(C)OB(c2ccc(-c3nc4ccccc4s3)cc2)OC1(C)C	64.8	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C3=NN=CO3)C=C2)O1	CC1(C)OB(c2ccc(-c3nnco3)cc2)OC1(C)C	26.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C3CC3)C=C2)O1	CC1(C)OB(c2ccc(C3CC3)cc2)OC1(C)C	33.4	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)Br)O1	CC1(C)OB(c2ccc(Br)cc2)OC1(C)C	1.6	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C(=O)NCCN(C)C)O1	CN(C)CCNC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1	9.8	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C(C(F)(F)F)O)O1	CC1(C)OB(c2ccc(C(O)C(F)(F)F)cc2)OC1(C)C	57.4	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C3(CC3)C#N)O1	CC1(C)OB(c2ccc(C3(C#N)CC3)cc2)OC1(C)C	21.2	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)CCC(=O)OC)O1	COC(=O)CCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1	50.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)CN3C(=O)C4=CC=CC=C4C3=O)O1	CC1(C)OB(c2ccc(CN3C(=O)c4ccccc4C3=O)cc2)OC1(C)C	7.5	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)CN3CCCC3)O1	CC1(C)OB(c2ccc(CN3CCCC3)cc2)OC1(C)C	8	有机化学清单
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)N3CCCCC3)O1	CC1(C)OB(c2ccc(N3CCCCC3)cc2)OC1(C)C	20.3	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3)O1	CC1(C)OB(c2ccc(NC(=O)c3ccccc3)cc2)OC1(C)C	31.5	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)NC(=O)NC)O1	CNC(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cc1	32.6	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)NC3=CC=CC=C3)O1	CC1(C)OB(c2ccc(Nc3ccccc3)cc2)OC1(C)C	13.1	有机化学清单
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCBr)O1	CC1(C)OB(c2ccc(OCCBr)cc2)OC1(C)C	13.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCCN(C)C)O1	CN(C)CCCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1	29.6	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCO)O1	CC1(C)OB(c2ccc(OCCO)cc2)OC1(C)C	35.7	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCOC)O1	COCCOc1ccc(B2OC(C)(C)C(C)(C)O2)cc1	12.2	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)S(=O)(=O)NC)O1	CNS(=O)(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1	35.9	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(C=C2C=O)OC)O1	COc1ccc(B2OC(C)(C)C(C)(C)O2)c(C=O)c1	7.6	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(CBr)C(Cl)=C2)O1	CC1(C)OB(c2ccc(CBr)c(Cl)c2)OC1(C)C	24.5	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(CBr)C(F)=C2)O1	CC1(C)OB(c2ccc(CBr)c(F)c2)OC1(C)C	17.1	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(CC)C=C2)O1	CCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1	11.5	有机化学清单
CC1(C)C(C)(C)OB(C2=CC=C(CN3CCOCC3)C=C2)O1	CC1(C)OB(c2ccc(CN3CCOCC3)cc2)OC1(C)C	1.9	现货目录
CC1(C)C(C)(C)OB(C2=CC=C(CNC(C)(C)C)C=C2)O1	CC(C)(C)NCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1	18.5	有机化学清单
