smarts	smarts_inner_marked	smarts_marked_oxygen
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6:2]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)([#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8]))
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6:2][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]1)([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6:2][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6][#6]31([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6:2]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]1)([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6:2]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)[#6](=[#7]3)#[#8]))
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6:2]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6:2][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]([#6][#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6:2][#6][#6]2	[#6]1([#6]([#6][#6]3([#6]([#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6:2][#6]2	[#6]1([#6]([#6][#6][#6]3([#6]1[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6:2]2	[#6]1([#6][#6][#6][#6]3([#6]1[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8]
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6:2]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)([#6][#8]2)#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6:2][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)[#6](#[#8])[#8]2))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6:2][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6]([#6][#6][#6][#8]2)#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6:2][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6]([#6][#6][#8]2)#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6:2][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6][#6]([#6][#8]2)#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6:2][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6][#6][#6](#[#8])[#8]2)[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6:2]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)[#6][#8]2)#[#8])[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6:2][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1[#6][#8]2)#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6:2][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6][#6]([#6][#6][#6]1[#6][#8]2)#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6:2][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6][#6][#6]([#6][#6]1[#6][#8]2)#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6:2]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6][#6][#6][#6]([#6]1[#6][#8]2)#[#8]))[#8]3)
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	[C:2]1-c2ccccc2-c2ccccc2-1	[#8]#[C]2(-[c]1([c]([c][c][c][c]1)-[c]3([c]-2[c][c][c][c]3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2[c:2]cccc2-c2ccccc2-1	[#8]#[c]1([c]3([c]([c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2c[c:2]ccc2-c2ccccc2-1	[#8]#[c]1([c][c]3([c]([c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2cc[c:2]cc2-c2ccccc2-1	[#8]#[c]1([c][c][c]3([c]([c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccc[c:2]c2-c2ccccc2-1	[#8]#[c]1([c][c][c][c]3([c]1-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2[c:2]cccc2-1	[#8]#[c]1([c][c][c][c]3([c]1-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2c[c:2]ccc2-1	[#8]#[c]1([c][c][c]3([c]([c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2cc[c:2]cc2-1	[#8]#[c]1([c][c]3([c]([c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2ccc[c:2]c2-1	[#8]#[c]1([c]3([c]([c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3[c:2]cccc3oc1cccc2	[o]2([c]1([c]([c](#[#8])[c][c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3c[c:2]ccc3oc1cccc2	[o]2([c]1([c]([c][c](#[#8])[c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3cc[c:2]cc3oc1cccc2	[o]2([c]1([c][c](#[#8])[c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccc[c:2]c3oc1cccc2	[o]2([c]1([c](#[#8])[c][c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1[c:2]ccc2	[o]2([c]1([c](#[#8])[c][c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1c[c:2]cc2	[o]2([c]1([c][c](#[#8])[c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1cc[c:2]c2	[o]2([c]1([c]([c][c](#[#8])[c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1ccc[c:2]2	[o]2([c]1([c]([c](#[#8])[c][c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12[n:2]c3ccccc3cc1cccc2	[n]1(#[#8])([c]3([c]([c][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3[c:2]cccc3cc1cccc2	[n]2([c]1([c](#[#8])[c][c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3c[c:2]ccc3cc1cccc2	[n]2([c]1([c][c](#[#8])[c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3cc[c:2]cc3cc1cccc2	[n]2([c]1([c]([c][c](#[#8])[c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccc[c:2]c3cc1cccc2	[n]2([c]1([c]([c](#[#8])[c][c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3[c:2]c1cccc2	[n]1([c]3([c]([c](#[#8])[c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1[c:2]ccc2	[n]2([c]1([c]([c](#[#8])[c][c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1c[c:2]cc2	[n]2([c]1([c]([c][c](#[#8])[c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1cc[c:2]c2	[n]2([c]1([c][c](#[#8])[c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1ccc[c:2]2	[n]2([c]1([c](#[#8])[c][c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12[n:2]c3ccccc3nc1cccc2	[n]1(#[#8])([c]3([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3[c:2]cccc3nc1cccc2	[n]1([c]3([c]([n][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3c[c:2]ccc3nc1cccc2	[n]1([c]3([c]([n][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3cc[c:2]cc3nc1cccc2	[n]1([c]3([c]([n][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccc[c:2]c3nc1cccc2	[n]1([c]3([c]([n][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3[n:2]c1cccc2	[n]1(#[#8])([c]3([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1[c:2]ccc2	[n]1([c]3([c]([n][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1c[c:2]cc2	[n]1([c]3([c]([n][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1cc[c:2]c2	[n]1([c]3([c]([n][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1ccc[c:2]2	[n]1([c]3([c]([n][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	[c:2]1ccc2c(c1)Oc1ccccc1S2	[S]2([c]3([c]([O][c]1([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1[c:2]cc2c(c1)Oc1ccccc1S2	[S]1([c]3([c]([O][c]2([c]1[c][c](#[#8])[c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1c[c:2]c2c(c1)Oc1ccccc1S2	[S]1([c]3([c]([O][c]2([c]1[c](#[#8])[c][c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c([c:2]1)Oc1ccccc1S2	[S]2([c]3([c]([O][c]1([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)Oc1[c:2]cccc1S2	[S]1([c]3([c]([O][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)Oc1c[c:2]ccc1S2	[S]1([c]3([c]([O][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)Oc1cc[c:2]cc1S2	[S]1([c]3([c]([O][c]2([c]1[c][c](#[#8])[c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)Oc1ccc[c:2]c1S2	[S]1([c]3([c]([O][c]2([c]1[c](#[#8])[c][c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)Oc1ccccc1[S:2]2	[S]1(#[#8])([c]3([c]([O][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6:2]12[#6][#7]3[#6][#6]([#6]1)[#6][#6]([#6]3)[#6]2	[#6]2([#6]1([#6][#6]3([#6][#6]([#6]1)([#6][#7]2[#6]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6:2][#7]3[#6][#6]([#6]1)[#6][#6]([#6]3)[#6]2	[#6]2([#6]1([#6][#6]3([#6][#6]([#6]1)[#6]([#7]2[#6]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6][#6]([#6:2]1)[#6][#6]([#6]3)[#6]2	[#6]2([#6]1([#6]([#6]3([#6][#6]([#6]1)[#6][#7]2[#6]3))#[#8]))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6][#6:2]([#6]1)[#6][#6]([#6]3)[#6]2	[#6]2([#6]1([#6][#6]3([#6][#6]([#6]1)([#6][#7]2[#6]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6:2][#6]([#6]1)[#6][#6]([#6]3)[#6]2	[#6]2([#6]1([#6][#6]3([#6][#6]([#6]1)[#6]([#7]2[#6]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6][#6]([#6]1)[#6][#6]([#6:2]3)[#6]2	[#6]2([#6]1([#6][#6]3([#6][#6]([#6]1)[#6]([#7]2[#6]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6][#6]([#6]1)[#6:2][#6]([#6]3)[#6]2	[#6]2([#6]1([#6]([#6]3([#6][#6]([#6]1)[#6][#7]2[#6]3))#[#8]))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6][#6]([#6]1)[#6][#6:2]([#6]3)[#6]2	[#6]2([#6]1([#6][#6]3([#6][#6]([#6]1)([#6][#7]2[#6]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#7]2[#6]3)[#6][#6]3[#6]1	[#6]12[#6][#7]3[#6][#6]([#6]1)[#6][#6]([#6]3)[#6:2]2	[#6]2([#6]1([#6]([#6]3([#6][#6]([#6]1)[#6][#7]2[#6]3))#[#8]))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6:2]12[#6][#6]3[#6][#6]([#6]1)[#6][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6][#6]3([#6][#6]1([#6][#6]([#6]2)[#7;H1]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6:2][#6]3[#6][#6]([#6]1)[#6][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6]([#6]3([#6][#6]1[#6][#6]([#6]2)[#7;H1]3))#[#8]))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6][#6]([#6:2]1)[#6][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6][#6]3([#6][#6]1[#6][#6]([#6]2)[#7;H1]3)))#[#8]
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6][#6:2]([#6]1)[#6][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6][#6]3([#6][#6]1([#6][#6]([#6]2)[#7;H1]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6:2][#6]([#6]1)[#6][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6]([#6]3([#6][#6]1[#6][#6]([#6]2)[#7;H1]3))#[#8]))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6:2]3[#6][#6]([#6]1)[#6][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6][#6]3([#6][#6]1[#6][#6]([#6]2)([#7;H1]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6][#6]([#6]1)[#6][#6]([#7&H1:2]3)[#6]2	[#6]1([#6]2([#6][#6]3([#6][#6]1[#6][#6]([#6]2)[#7;H1]3#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6][#6]([#6]1)[#6:2][#6]([#7&H1]3)[#6]2	[#6]1([#6]2([#6]([#6]3([#6][#6]1[#6][#6]([#6]2)[#7;H1]3))#[#8]))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6][#6]([#6]1)[#6][#6:2]([#7&H1]3)[#6]2	[#6]1([#6]2([#6][#6]3([#6][#6]1[#6][#6]([#6]2)([#7;H1]3)#[#8])))
[#6]1([#6]2)[#6][#6]([#6][#6]2[#7;H1]3)[#6][#6]3[#6]1	[#6]12[#6][#6]3[#6][#6]([#6]1)[#6][#6]([#7&H1]3)[#6:2]2	[#6]1([#6]2([#6]([#6]3([#6][#6]1[#6][#6]([#6]2)[#7;H1]3))#[#8]))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12[c:2]cccc1[#7]c1c(cccc1)[#8]2	[#7]1([c]3([c]([#8][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12c[c:2]ccc1[#7]c1c(cccc1)[#8]2	[#7]1([c]3([c]([#8][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12cc[c:2]cc1[#7]c1c(cccc1)[#8]2	[#7]1([c]3([c]([#8][c]2([c]1[c][c](#[#8])[c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12ccc[c:2]c1[#7]c1c(cccc1)[#8]2	[#7]2([c]1([c](#[#8])[c][c][c][c]1[#8][c]3([c]2[c][c][c][c]3)))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12ccccc1[#7:2]c1c(cccc1)[#8]2	[#7]1(#[#8])([c]3([c]([#8][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12ccccc1[#7]c1c([c:2]ccc1)[#8]2	[#7]1([c]3([c]([#8][c]2([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12ccccc1[#7]c1c(c[c:2]cc1)[#8]2	[#7]1([c]3([c]([#8][c]2([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12ccccc1[#7]c1c(cc[c:2]c1)[#8]2	[#7]1([c]3([c]([#8][c]2([c]1[c][c](#[#8])[c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#8]2	c12ccccc1[#7]c1c(ccc[c:2]1)[#8]2	[#7]2([c]1([c](#[#8])[c][c][c][c]1[#8][c]3([c]2[c][c][c][c]3)))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12[c:2]cccc1[#7]c1c(cccc1)[#16]2	[#16]1([c]3([c]([#7][c]2([c]1[c](#[#8])[c][c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12c[c:2]ccc1[#7]c1c(cccc1)[#16]2	[#16]1([c]3([c]([#7][c]2([c]1[c][c](#[#8])[c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12cc[c:2]cc1[#7]c1c(cccc1)[#16]2	[#16]2([c]3([c]([#7][c]1([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12ccc[c:2]c1[#7]c1c(cccc1)[#16]2	[#16]2([c]3([c]([#7][c]1([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12ccccc1[#7:2]c1c(cccc1)[#16]2	[#16]1([c]3([c]([#7](#[#8])[c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12ccccc1[#7]c1c([c:2]ccc1)[#16]2	[#16]1([c]3([c]([#7][c]2([c]1[c](#[#8])[c][c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12ccccc1[#7]c1c(c[c:2]cc1)[#16]2	[#16]1([c]3([c]([#7][c]2([c]1[c][c](#[#8])[c][c]2))[c][c][c][c]3))
[c]12[c][c][c][c][c]1[#7][c]1[c]([c][c][c][c]1)[#16]2	c12ccccc1[#7]c1c(cc[c:2]c1)[#16]2	[#16]2([c]3([c]([#7][c]1([c][c](#[#8])[c][c][c]12))[c][c][c][c]3))
