smarts	smarts_marked	smarts_marked_oxygen
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6:1]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6:2]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)([#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6:1][#6:2]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]([#6]31([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6:2]3([#6][#6][#6:1]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]1)([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3))#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7:2][#6:1]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6:1][#6:2][#6][#6]2	[#6]1([#6]([#6]([#6]3([#6]([#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6:1]12[#6:2]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)([#6]2([#6][#6][#6]2)([#6]=[#7]3)#[#8])#[#8]))
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6:1][#6:2][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]([#6]31([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3)))#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6:1][#6:2][#6]2	[#6]1([#6]([#6]([#6][#6]3([#6]1[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6:1]=[#7:2][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)[#6](=[#7]3#[#8])#[#8]))
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6:2]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6:1]2	[#6]1([#6][#6][#6][#6]3([#6]1([#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8]))#[#8]
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6:1]1[#6:2][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]([#6][#6]1)[#6]2([#6][#6][#6]2)[#6]=[#7]3)#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6]3([#6][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6:1][#6:2]2	[#6]1([#6]([#6][#6][#6]3([#6]1[#6]2([#6][#6][#6]2)[#6]=[#7]3))#[#8])#[#8]
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6:1]3([#6:2][#6][#6]3)[#6]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]([#6]3([#6]1)([#6]2([#6]([#6][#6][#6][#6]2)[#7]=[#6]3))#[#8])#[#8])
[#6]1([#6]3([#6][#6][#6]3)[#6]=[#7]2)[#6]2[#6][#6][#6][#6]1	[#6]12[#6:1]3([#6][#6][#6]3)[#6:2]=[#7][#6]1[#6][#6][#6][#6]2	[#6]1([#6]3([#6]([#6][#6][#6]1)[#6]2([#6][#6][#6]2)([#6](=[#7]3)#[#8])#[#8]))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6:1][#6:2][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6]([#6]([#6][#8]2)#[#8])#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6:1]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6:2]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)([#6][#8]2)#[#8])#[#8])[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6:1][#6:2][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6]([#6][#6][#6]1[#6][#8]2)#[#8])#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8:1][#6:2]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)[#6][#8]2#[#8]))(#[#8])[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6:1][#8:2]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6][#6][#6](#[#8])[#8]2#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6:1]1[#6:2][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1[#6][#8]2)#[#8])#[#8])[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6:2]3([#6][#6][#6][#6][#8:1]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6][#6][#6][#8]2#[#8])(#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6:1]12[#6:2][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)([#6](#[#8])[#8]2)#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6:1][#6:2][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6]([#6]([#6][#6][#8]2)#[#8])#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6:1][#6:2]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6][#6][#6]([#6]([#6]1[#6][#8]2)#[#8])#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6:2]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6:1]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6][#6][#6][#6]([#6]1([#6][#8]2)#[#8])#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6:1][#6:2][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6][#6][#6]([#6](#[#8])[#8]2)#[#8])[#8]3))
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6:2]3([#6][#6][#6][#6][#8]3)[#6:1]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)[#6][#8]2)#[#8])(#[#8])[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6:1][#8:2][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6]([#6][#6][#6][#6]1)[#6](#[#8])[#8]2#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6]3([#6][#6][#6][#6][#8]3)[#6]1[#6][#6:1][#6:2][#6]2	[#6]3([#6][#6][#6][#6]2([#6]1([#6][#6]([#6]([#6][#6]1[#6][#8]2)#[#8])#[#8]))[#8]3)
[#6]1([#6][#8][#6]23([#6][#6][#6][#6][#8]3))[#6]2[#6][#6][#6][#6]1	[#6]12[#6][#8][#6:1]3([#6:2][#6][#6][#6][#8]3)[#6]1[#6][#6][#6][#6]2	[#6]3([#6]1([#6]([#6][#6][#6][#6]1)[#6]2([#6]([#6][#6][#6][#8]2)#[#8])(#[#8])[#8]3))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2c[c:1][c:2]cc2-1	[#8]#[c]1([c](#[#8])[c][c]3([c]([c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2c[c:1][c:2]cc2-c2ccccc2-1	[#8]#[c]1([c](#[#8])[c][c]3([c]([c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2[c:1][c:2]ccc2-1	[#8]#[c]1([c](#[#8])[c][c][c]3([c]1-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-[c:1]2[c:2]cccc2-c2ccccc2-1	[#8]#[c]1([c]3(#[#8])([c]([c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2cccc[c:1]2-[c:2]2ccccc2-1	[#8]#[c]21([c]([c][c][c][c]1)-[C]-[c]3([c]-2(#[#8])[c][c][c][c]3))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-[c:2]2cccc[c:1]2-c2ccccc2-1	[#8]#[c]31([c](#[#8])([c][c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2ccc[c:1][c:2]2-1	[#8]#[c]1([c]3(#[#8])([c]([c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-[c:2]2cccc[c:1]2-1	[#8]#[c]31([c](#[#8])([c][c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2[c:1][c:2]ccc2-c2ccccc2-1	[#8]#[c]1([c](#[#8])[c]3([c]([c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	[C:2]1-c2ccccc2-c2cccc[c:1]2-1	[#8]#[c]31([c]([c][c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3#[#8]))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-c2cc[c:1][c:2]c2-1	[#8]#[c]1([c](#[#8])[c]3([c]([c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2cc[c:1][c:2]c2-c2ccccc2-1	[#8]#[c]1([c](#[#8])[c][c][c]3([c]1-[c]2([c]([c][c][c][c]2)-[C]-3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccc[c:1][c:2]2-c2ccccc2-1	[#8]#[c]1([c]2(#[#8])([c]([c][c][c]1)-[C]-[c]3([c]-2[c][c][c][c]3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	C1-c2ccccc2-[c:1]2[c:2]cccc2-1	[#8]#[c]1([c]2(#[#8])([c]([c][c][c]1)-[C]-[c]3([c]-2[c][c][c][c]3)))
[C]1-[c]2[c][c][c][c][c]2-[c]2[c][c][c][c][c]2-1	[C:1]1-[c:2]2ccccc2-c2ccccc2-1	[#8]#[c]31([c]([c][c][c][c]1)-[c]2([c]([c][c][c][c]2)-[C]-3#[#8]))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	[c:1]12c3ccccc3o[c:2]1cccc2	[o]1([c]3(#[#8])([c](#[#8])([c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12[c:1]3cccc[c:2]3oc1cccc2	[o]1([c]3(#[#8])([c](#[#8])([c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12[c:1]3[c:2]cccc3oc1cccc2	[o]2([c]1([c](#[#8])([c](#[#8])[c][c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1cc[c:1][c:2]2	[o]2([c]1([c]([c](#[#8])[c](#[#8])[c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccc[c:2][c:1]3oc1cccc2	[o]2([c]1(#[#8])([c](#[#8])[c][c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	[c:1]12[c:2]3ccccc3oc1cccc2	[o]1([c]3([c](#[#8])([c]2(#[#8])([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3cc[c:1][c:2]c3oc1cccc2	[o]2([c]1([c](#[#8])[c](#[#8])[c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3c[c:1][c:2]cc3oc1cccc2	[o]2([c]1([c][c](#[#8])[c](#[#8])[c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3cccc[c:1]3[o:2]c1cccc2	[o]1(#[#8])([c]3(#[#8])([c]([c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1c[c:1][c:2]c2	[o]2([c]1([c][c](#[#8])[c](#[#8])[c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3oc1[c:1][c:2]cc2	[o]2([c]1([c](#[#8])[c](#[#8])[c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	[c:2]12c3ccccc3oc1ccc[c:1]2	[o]2([c]1([c](#[#8])([c](#[#8])[c][c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3[o:2][c:1]1cccc2	[o]1(#[#8])([c]3(#[#8])([c]([c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3[c:1][c:2]ccc3oc1cccc2	[o]2([c]1([c]([c](#[#8])[c](#[#8])[c][c]1)[c]3([c]2[c][c][c][c]3)))
[c]1([c]([c][c][c][c]3)[c]3[o]2)[c]2[c][c][c][c]1	c12c3ccccc3o[c:1]1[c:2]ccc2	[o]2([c]1(#[#8])([c](#[#8])[c][c][c][c]1[c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	[c:1]12nc3ccccc3c[c:2]1cccc2	[n]1([c]3(#[#8])([c](#[#8])([c][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3[c:2][c:1]1cccc2	[n]1([c]3([c](#[#8])([c](#[#8])[c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1cc[c:1][c:2]2	[n]2([c]1([c](#[#8])[c](#[#8])[c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3c[c:1][c:2]cc3cc1cccc2	[n]2([c]1([c][c](#[#8])[c](#[#8])[c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1c[c:1][c:2]c2	[n]2([c]1([c][c](#[#8])[c](#[#8])[c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccc[c:2][c:1]3cc1cccc2	[n]2([c]1([c](#[#8])([c](#[#8])[c][c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12n[c:1]3cccc[c:2]3cc1cccc2	[n]1([c]3(#[#8])([c](#[#8])([c][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3[c:1][c:2]ccc3cc1cccc2	[n]2([c]1([c](#[#8])[c](#[#8])[c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12[n:1][c:2]3ccccc3cc1cccc2	[n]1(#[#8])([c]3(#[#8])([c]([c][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3cc1[c:1][c:2]cc2	[n]2([c]1([c]([c](#[#8])[c](#[#8])[c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3cc[c:1][c:2]c3cc1cccc2	[n]2([c]1([c]([c](#[#8])[c](#[#8])[c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12n[c:1]3[c:2]cccc3cc1cccc2	[n]2([c]1(#[#8])([c](#[#8])[c][c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	[c:2]12nc3ccccc3cc1ccc[c:1]2	[n]2([c]1(#[#8])([c](#[#8])[c][c][c][c]1[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	[c:1]12[n:2]c3ccccc3cc1cccc2	[n]1(#[#8])([c]3(#[#8])([c]([c][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3ccccc3c[c:1]1[c:2]ccc2	[n]2([c]1([c](#[#8])([c](#[#8])[c][c][c]1)[c][c]3([c]2[c][c][c][c]3)))
[c]1([n][c]([c][c][c][c]3)[c]3[c]2)[c]2[c][c][c][c]1	c12nc3cccc[c:1]3[c:2]c1cccc2	[n]1([c]3([c](#[#8])([c](#[#8])[c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12n[c:1]3[c:2]cccc3nc1cccc2	[n]1([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3#[#8]))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1cc[c:1][c:2]2	[n]1([c]3([c]([n][c]2([c](#[#8])[c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	[c:1]12[n:2]c3ccccc3nc1cccc2	[n]1(#[#8])([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3cc[c:1][c:2]c3nc1cccc2	[n]1([c]3([c]([n][c]2([c](#[#8])[c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3n[c:1]1[c:2]ccc2	[n]1([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3#[#8]))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccc[c:2][c:1]3nc1cccc2	[n]1([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3#[#8]))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1[c:1][c:2]cc2	[n]1([c]3([c]([n][c]2([c](#[#8])[c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3cccc[c:1]3[n:2]c1cccc2	[n]1(#[#8])([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12[n:1][c:2]3ccccc3nc1cccc2	[n]1(#[#8])([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12n[c:1]3cccc[c:2]3nc1cccc2	[n]1([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))(#[#8])[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3[c:1][c:2]ccc3nc1cccc2	[n]1([c]3([c]([n][c]2([c](#[#8])[c](#[#8])[c][c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3nc1c[c:1][c:2]c2	[n]1([c]3([c]([n][c]2([c][c](#[#8])[c](#[#8])[c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3c[c:1][c:2]cc3nc1cccc2	[n]1([c]3([c]([n][c]2([c][c](#[#8])[c](#[#8])[c][c]12))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	c12nc3ccccc3[n:2][c:1]1cccc2	[n]1(#[#8])([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	[c:1]12nc3ccccc3n[c:2]1cccc2	[n]1([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))(#[#8])[c][c][c][c]3))
[c]1([n][c]([c][c][c][c]3)[c]3[n]2)[c]2[c][c][c][c]1	[c:2]12nc3ccccc3nc1ccc[c:1]2	[n]1([c]3(#[#8])([c]([n][c]2([c]1[c][c][c][c]2))[c][c][c][c]3#[#8]))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1[c:1][c:2]c2c(c1)Oc1ccccc1S2	[S]1([c]3([c]([O][c]2([c]1[c](#[#8])[c](#[#8])[c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1cc[c:1]2[c:2](c1)Oc1ccccc1S2	[S]1([c]3(#[#8])([c]([O][c]2([c]1[c][c][c][c]2))(#[#8])[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)O[c:1]1[c:2]cccc1S2	[S]1([c]3([c]([O][c]2(#[#8])([c](#[#8])[c][c][c][c]12))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)O[c:2]1cccc[c:1]1S2	[S]1([c]3(#[#8])([c]([O][c]2([c]1[c][c][c][c]2))(#[#8])[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2[c:1](c1)[O:2]c1ccccc1S2	[S]1([c]3([c]([O](#[#8])[c]2(#[#8])([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1ccc2c(c1)Oc1cccc[c:1]1[S:2]2	[S]1(#[#8])([c]3(#[#8])([c]([O][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
[c]1[c][c][c]2[c]([c]1)[O][c]1[c][c][c][c][c]1[S]2	c1cc[c:2]2c(c1)Oc1ccccc1[S:1]2	[S]1(#[#8])([c]3(#[#8])([c]([O][c]2([c]1[c][c][c][c]2))[c][c][c][c]3))
