smiles,ac,amw,mol,is_463
c1cnc2[nH]ccc2c1,9,118.13899993896484,c1cnc2[nH]ccc2c1,1
C1CNCN1,5,72.11100006103516,C1CNCN1,1
Cc1cc(C)c[n+]([O-])c1,9,123.15499877929688,Cc1cc(C)c[n+]([O-])c1,1
c1ccc(Cn2ccnc2)cc1,12,158.20399475097656,c1ccc(Cn2ccnc2)cc1,1
COC1OCCO1,7,104.1050033569336,COC1OCCO1,1
c1cc(N2CCCCC2)ccn1,12,162.23599243164062,c1cc(N2CCCCC2)ccn1,1
CSC(=O)c1ccco1,9,142.1790008544922,CSC(=O)c1ccco1,1
Cc1ccc(C=O)o1,8,110.11199951171875,Cc1ccc(C=O)o1,1
CC(C)OB1OC(C)(C)C(C)(C)O1,13,186.05999755859375,CC(C)OB1OC(C)(C)C(C)(C)O1,1
CCCCN1CCCC1=O,10,141.21400451660156,CCCCN1CCCC1=O,1
CCOS(C)(=O)=O,7,124.16100311279297,CCOS(C)(=O)=O,1
O=c1occo1,6,86.0459976196289,O=c1occo1,1
CC(C)(C)OC(=O)n1ccc2ccccc21,16,217.26800537109375,CC(C)(C)OC(=O)n1ccc2ccccc21,1
Cc1ccc2c(c1)OCO2,10,136.14999389648438,Cc1ccc2c(c1)OCO2,1
O=C1OCC(F)O1,7,106.052001953125,O=C1OCC(F)O1,1
CC(=O)N(C)C,6,87.12200164794922,CC(=O)N(C)C,1
CN1C(=O)C=CC1=O,8,111.0999984741211,CN1C(=O)C=CC1=O,1
CCOC(=O)C#N,7,99.08899688720703,CCOC(=O)C#N,1
CC1=CC(=O)C=CC1=O,9,122.12300109863281,CC1=CC(=O)C=CC1=O,1
Cn1ccnc1,6,82.10600280761719,Cn1ccnc1,1
COC(=O)CC#N,7,99.08899688720703,COC(=O)CC#N,1
C#CC1CC1,5,66.10299682617188,C#CC1CC1,1
Fc1ccccn1,7,97.09200286865234,Fc1ccccn1,1
O=C1COC1,5,72.06300354003906,O=C1COC1,1
CB(O)O,4,59.861000061035156,CB(O)O,1
CC(C)=CC=O,6,84.11799621582031,CC(C)=CC=O,1
C=CCSS(=O)CC=C,9,162.2790069580078,C=CCSS(=O)CC=C,1
ClC[C@@H]1CO1,5,92.5250015258789,ClC[C@@H]1CO1,1
CN1CCCNCC1,8,114.19200134277344,CN1CCCNCC1,1
OC1CCCCO1,7,102.13300323486328,OC1CCCCO1,1
COC(OC)(OC)OC,9,136.14700317382812,COC(OC)(OC)OC,1
N#CCC1CC1,6,81.11799621582031,N#CCC1CC1,1
CC1=CC(C)(C)Nc2ccccc21,13,173.25900268554688,CC1=CC(C)(C)Nc2ccccc21,1
C1CNCCNC1,7,100.16500091552734,C1CNCCNC1,1
CSc1nccnn1,8,127.1719970703125,CSc1nccnn1,1
CCN=C=S,5,87.14700317382812,CCN=C=S,1
Cn1ccc2cccnc21,10,132.16600036621094,Cn1ccc2cccnc21,1
C1=CCOCC1,6,84.11799621582031,C1=CCOCC1,1
CC1=NCCO1,6,85.10600280761719,CC1=NCCO1,1
Cc1ccc(C(=O)OC(=O)c2ccc(C)cc2)cc1,19,254.28500366210938,Cc1ccc(C(=O)OC(=O)c2ccc(C)cc2)cc1,1
CC1=NNC(=O)CC1,8,112.13200378417969,CC1=NNC(=O)CC1,1
CCC(N)=O,5,73.09500122070312,CCC(N)=O,1
O=C(Cl)c1cccc2ccccc12,13,190.62899780273438,O=C(Cl)c1cccc2ccccc12,1
Cn1ccnn1,6,83.09400177001953,Cn1ccnn1,1
CCB1OC(C)(C)C(C)(C)O1,11,156.03399658203125,CCB1OC(C)(C)C(C)(C)O1,1
CC1=NCCS1,6,101.17400360107422,CC1=NCCS1,1
O=C1CSC1,5,88.13099670410156,O=C1CSC1,1
CC1(C)OB(C2=CCSCC2)OC1(C)C,15,226.14999389648438,CC1(C)OB(C2=CCSCC2)OC1(C)C,1
C1CC2CCC1C2,7,96.1729965209961,C1CC2CCC1C2,1
O=c1c2ccccc2ncn1-c1ccccc1,17,222.2469940185547,O=c1c2ccccc2ncn1-c1ccccc1,1
CCn1cncn1,7,97.12100219726562,CCn1cncn1,1
Cc1cc(C(=O)Cl)no1,9,145.5449981689453,Cc1cc(C(=O)Cl)no1,1
CSc1nc2ccccc2o1,11,165.2169952392578,CSc1nc2ccccc2o1,1
CCOC(=O)C1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,20,280.1730041503906,CCOC(=O)C1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,1
CCCCCCN=C=S,9,143.2550048828125,CCCCCCN=C=S,1
COc1cc(OC)nc(S(C)(=O)=O)n1,14,218.23399353027344,COc1cc(OC)nc(S(C)(=O)=O)n1,1
O=C(Oc1ccccc1)Oc1ccccc1,16,214.22000122070312,O=C(Oc1ccccc1)Oc1ccccc1,1
Cc1ccc(S(=O)(=O)N2CC=C(B3OC(C)(C)C(C)(C)O3)CC2)cc1,25,363.2879943847656,Cc1ccc(S(=O)(=O)N2CC=C(B3OC(C)(C)C(C)(C)O3)CC2)cc1,1
CSC1=NCCS1,7,133.24099731445312,CSC1=NCCS1,1
c1ccc(-c2cccs2)nc1,11,161.22900390625,c1ccc(-c2cccs2)nc1,1
FC(F)(F)c1ccccn1,10,147.0989990234375,FC(F)(F)c1ccccn1,1
CSc1ccc(Br)cn1,9,204.0919952392578,CSc1ccc(Br)cn1,1
O=S1(=O)CCOCC1,8,136.1719970703125,O=S1(=O)CCOCC1,1
COC(=O)Nc1ccccc1,11,151.1649932861328,COC(=O)Nc1ccccc1,1
C[Si](C)(CCl)c1ccccc1,11,184.74200439453125,C[Si](C)(CCl)c1ccccc1,1
CCn1ccnc1,7,96.13300323486328,CCn1ccnc1,1
ClCC1CN(Cc2ccccc2)CCO1,15,225.718994140625,ClCC1CN(Cc2ccccc2)CCO1,1
CC(C)(C)c1ccc2c(c1)Cc1cc(C(C)(C)C)ccc1-2,21,278.4389953613281,CC(C)(C)c1ccc2c(c1)Cc1cc(C(C)(C)C)ccc1-2,1
N#CC1CCCC1,7,95.1449966430664,N#CC1CCCC1,1
c1cnc2c(c1)CCCC2,10,133.19400024414062,c1cnc2c(c1)CCCC2,1
CC1CCOCO1,7,102.13300323486328,CC1CCOCO1,1
c1ccc2c(c1)CC2,8,104.1520004272461,c1ccc2c(c1)CC2,1
CC1COC(C)O1,7,102.13300323486328,CC1COC(C)O1,1
O=S1(=O)CCCCO1,8,136.1719970703125,O=S1(=O)CCCCO1,1
COB1OC(C)(C)C(C)(C)O1,11,158.00599670410156,COB1OC(C)(C)C(C)(C)O1,1
Clc1ccc2nsnc2c1,10,170.62399291992188,Clc1ccc2nsnc2c1,1
O=C1C=CCCCC1,8,110.15599822998047,O=C1C=CCCCC1,1
C1CN=C2CCCN2C1,9,124.18699645996094,C1CN=C2CCCN2C1,1
Cn1cccn1,6,82.10600280761719,Cn1cccn1,1
Cc1cnc2ccccc2c1,11,143.18899536132812,Cc1cnc2ccccc2c1,1
BrCC1OCCO1,7,167.0019989013672,BrCC1OCCO1,1
O=P(O)(OCc1ccccc1)OCc1ccccc1,19,278.2439880371094,O=P(O)(OCc1ccccc1)OCc1ccccc1,1
CSC(C)=O,5,90.14700317382812,CSC(C)=O,1
CC(C)=NO,5,73.09500122070312,CC(C)=NO,1
N#C/C=C/C#N,6,78.0739974975586,N#C/C=C/C#N,1
CC(C)(C)C(=O)O,7,102.13300323486328,CC(C)(C)C(=O)O,1
c1cnc2ccnn2c1,9,119.12699890136719,c1cnc2ccnn2c1,1
CN(C)C=S,5,89.16300201416016,CN(C)C=S,1
O=C1CCCCCCCCCCC1,13,182.3070068359375,O=C1CCCCCCCCCCC1,1
CN(C)C(=O)c1ccc(Cl)nc1,12,184.62600708007812,CN(C)C(=O)c1ccc(Cl)nc1,1
Cc1cccc2ncccc12,11,143.18899536132812,Cc1cccc2ncccc12,1
Fc1ccc2nsnc2c1,10,154.16900634765625,Fc1ccc2nsnc2c1,1
CCOC(=O)c1cnn2cccnc12,14,191.19000244140625,CCOC(=O)c1cnn2cccnc12,1
c1ccc2c(c1)-c1ccccc1C21C2CC3CC(C2)CC1C3,22,286.4179992675781,c1ccc2c(c1)-c1ccccc1C21C2CC3CC(C2)CC1C3,1
O=C(O)C1=CCCCO1,9,128.1269989013672,O=C(O)C1=CCCCO1,1
CC1(C)COP(=O)(Cl)OC1,10,184.5590057373047,CC1(C)COP(=O)(Cl)OC1,1
c1ccc(-c2nc3ccccc3o2)cc1,15,195.2209930419922,c1ccc(-c2nc3ccccc3o2)cc1,1
CC(C)(C)OC(=O)N1CC2(COC2)C1,14,199.25,CC(C)(C)OC(=O)N1CC2(COC2)C1,1
CC(C)(C)OC(=O)Oc1ccccc1,14,194.22999572753906,CC(C)(C)OC(=O)Oc1ccccc1,1
CC1=C(O)C(=O)CC(C)(C)C1,11,154.20899963378906,CC1=C(O)C(=O)CC(C)(C)C1,1
Cc1c2ccccc2cc2ccccc12,15,192.26100158691406,Cc1c2ccccc2cc2ccccc12,1
c1cnc2ncccc2c1,10,130.14999389648438,c1cnc2ncccc2c1,1
CC(C)(C)OC(=O)Nc1ccccn1,14,194.23399353027344,CC(C)(C)OC(=O)Nc1ccccn1,1
COC(=O)C1CN(Cc2ccccc2)CCO1,17,235.2830047607422,COC(=O)C1CN(Cc2ccccc2)CCO1,1
Cn1c(Cl)cc(=O)n(C)c1=O,11,174.58700561523438,Cn1c(Cl)cc(=O)n(C)c1=O,1
c1ccc(B2OCCCO2)cc1,12,161.9969940185547,c1ccc(B2OCCCO2)cc1,1
c1csc(SSc2cccs2)c1,12,230.4040069580078,c1csc(SSc2cccs2)c1,1
S=P(c1ccccc1)(c1ccccc1)c1ccccc1,20,294.3590087890625,S=P(c1ccccc1)(c1ccccc1)c1ccccc1,1
c1cnc2[nH]ncc2c1,9,119.12699890136719,c1cnc2[nH]ncc2c1,1
O=S1(=O)CCN(c2ccc(Cl)cc2)CC1,15,245.7310028076172,O=S1(=O)CCN(c2ccc(Cl)cc2)CC1,1
c1ccc(C2=NCCN2)cc1,11,146.1929931640625,c1ccc(C2=NCCN2)cc1,1
Fc1ccc(F)c(C2=NCCC2)c1,13,181.18499755859375,Fc1ccc(F)c(C2=NCCC2)c1,1
BrC1Cc2ccccc21,9,183.04800415039062,BrC1Cc2ccccc21,1
O=C(O)C1CC1,6,86.08999633789062,O=C(O)C1CC1,1
NC1CCCCCC1,8,113.2040023803711,NC1CCCCCC1,1
c1ccc2c(c1)CCCN2,10,133.19400024414062,c1ccc2c(c1)CCCN2,1
C1=CCOC1,5,70.09100341796875,C1=CCOC1,1
NC1CC1,4,57.09600067138672,NC1CC1,1
c1ccc2ocnc2c1,9,119.12300109863281,c1ccc2ocnc2c1,1
N#CC1CCOCC1,8,111.14399719238281,N#CC1CCOCC1,1
